"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","",""
"3","","","Overvote","Palin","Peltola","","","Bye","Overvote","Peltola","","Bye","Overvote","Palin","","","Overvote","Palin","Peltola","","","Begich","Overvote","Peltola","","Begich","Overvote","Palin","","","Bye","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Bye","Overvote","","","Bye","Overvote","Palin","","Begich","Overvote","Palin","","","Begich","Bye","Overvote","",""
"27-410 Meadow Lakes No. 1","46","1","0","5","2","0","172","50","1","11","1","4","0","3","3","0","0","4","1","0","3","4","0","0","0","1","0","0","143","185","72","0","12","8","17","0","3","2","7","8","5","0","71","23","17","0","9","23","30","0","4","0","1","11","5","0","5","1"
"27-415 Meadow Lakes No. 2","34","4","0","5","3","1","117","37","0","10","2","0","0","5","5","1","0","2","3","0","2","2","0","2","0","1","0","0","112","166","59","0","11","3","13","0","2","0","1","10","0","0","52","16","18","0","8","9","25","0","2","0","3","4","2","0","2","1"
"27-420 Wasilla No. 1","32","5","0","7","2","0","133","33","0","9","9","2","0","4","5","3","0","0","3","0","5","1","0","1","0","2","0","0","82","114","47","0","13","3","6","0","1","0","3","7","3","0","65","17","27","0","2","23","21","1","4","0","2","13","3","0","4","1"
"27-425 Wasilla No. 2","49","3","0","13","5","0","178","56","0","10","7","3","0","3","2","2","0","3","1","0","3","2","0","0","0","0","0","0","122","185","62","0","25","8","9","0","3","1","8","8","4","0","80","18","19","0","11","20","36","0","7","0","4","5","5","0","3","2"
"28-450 Lakes No. 1","28","3","0","7","2","0","88","30","0","3","6","6","0","9","2","0","0","4","0","0","2","1","0","1","1","2","0","0","55","110","25","0","10","3","5","0","3","0","1","5","2","0","59","12","19","1","2","12","17","0","4","1","3","2","3","0","6","0"
"28-455 Lakes No. 2","29","2","0","7","2","0","78","24","0","5","3","2","0","5","4","0","0","0","4","0","0","0","0","1","1","1","0","1","58","71","17","0","6","2","5","0","1","0","1","2","1","0","34","15","12","0","5","8","19","0","3","0","3","4","0","0","2","0"
"28-460 Seldon No. 1","61","9","0","17","5","0","143","45","0","10","3","9","0","5","4","2","0","3","0","0","0","4","0","0","0","1","0","0","89","125","41","0","10","7","8","0","0","0","4","3","3","0","54","17","22","0","6","8","29","0","5","0","5","2","1","0","7","3"
"28-465 Seldon No. 2","54","7","0","22","7","1","153","41","0","10","10","7","0","3","0","0","0","4","2","1","3","6","0","0","2","3","0","1","105","179","47","0","22","6","11","1","1","0","3","6","9","0","96","31","42","0","12","38","48","0","7","0","4","5","4","0","11","3"
"28-470 Seward Meridian","24","1","0","10","3","0","80","25","0","6","5","0","0","3","1","0","0","3","1","0","0","0","0","0","1","1","0","0","49","53","24","0","9","5","8","0","1","0","5","3","0","0","34","16","16","0","2","8","16","0","2","0","1","4","0","0","4","0"
"28-475 Trunk","52","3","0","5","4","0","134","36","0","13","4","7","0","6","1","0","0","3","2","0","0","4","0","0","2","3","0","0","72","97","65","1","5","4","17","0","0","1","4","3","1","0","67","31","36","0","4","19","32","0","5","0","4","3","1","0","4","1"
"28-480 Wasilla Lake","28","3","0","8","3","0","68","17","0","1","2","1","0","2","0","0","0","1","0","0","0","1","0","0","1","0","0","0","56","63","10","0","5","1","5","0","1","0","2","2","0","0","39","11","15","0","3","8","11","0","4","0","2","3","0","0","7","0"
"29-505 Farm Loop","55","8","0","12","6","0","219","50","0","15","8","6","0","4","7","1","1","12","1","0","1","3","0","0","0","1","0","0","101","154","61","0","17","7","20","0","3","0","3","2","4","0","77","28","27","0","6","23","41","0","3","0","2","2","2","0","7","6"
"29-510 Fishhook","69","8","0","21","11","0","241","84","0","15","9","10","0","6","5","2","0","12","3","0","3","5","0","2","1","1","0","1","141","207","66","0","19","0","12","0","0","0","3","5","5","0","126","39","51","0","13","21","51","0","6","0","4","6","7","0","11","1"
"29-515 Kings Lake","44","3","0","15","3","0","181","55","0","13","5","6","0","3","3","1","0","2","1","0","1","3","0","0","4","4","0","1","115","148","48","0","11","5","10","0","2","0","3","5","3","0","61","20","21","0","6","19","38","0","8","0","2","4","7","0","6","0"
"29-520 Lakes No. 3","31","2","0","4","2","0","69","14","0","7","2","0","0","0","3","1","0","2","3","0","0","1","0","0","1","1","0","1","37","66","26","0","6","1","5","0","1","0","0","2","0","0","32","12","12","0","1","8","12","0","5","0","3","1","3","0","2","0"
"29-525 Sheep Mountain","10","1","0","0","0","0","41","8","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","9","22","0","0","1","1","1","0","0","0","0","0","0","0","17","2","1","0","0","5","3","0","0","0","0","0","0","0","2","0"
"29-530 Sutton","32","5","0","7","3","0","65","23","0","1","3","1","0","2","2","0","0","3","1","0","0","3","0","1","0","0","0","0","73","68","18","0","5","3","1","0","0","0","3","0","0","0","68","15","15","0","4","10","22","0","2","0","3","1","1","0","4","0"
"29-535 Valdez No. 1","12","8","0","0","2","0","47","11","0","4","5","2","0","3","3","1","0","0","2","0","1","0","0","1","0","1","0","0","44","43","14","0","3","3","4","0","0","0","0","1","0","0","74","39","20","0","7","18","21","1","7","0","3","6","3","0","2","1"
"29-540 Valdez No. 2","13","0","0","3","0","0","23","6","0","3","2","2","0","1","1","1","0","2","1","0","0","0","0","0","0","0","0","1","35","26","6","0","5","0","2","0","0","0","0","0","0","0","36","15","12","0","1","18","11","0","1","0","0","3","0","0","2","0"
"29-545 Valdez No. 3","25","2","0","1","3","0","24","12","0","3","1","3","0","1","3","2","0","4","2","0","1","2","0","1","0","0","0","0","50","47","15","0","1","1","2","0","0","0","2","2","1","0","59","11","19","0","7","8","21","0","0","0","3","3","1","0","10","0"
"30-550 Anderson/Clear","3","2","0","3","0","0","10","12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","17","9","0","1","1","2","0","2","0","4","0","0","0","8","5","4","0","0","2","5","0","2","0","0","0","0","0","2","0"
"30-555 Big Lake","55","5","0","13","1","0","172","52","0","11","5","10","0","3","5","0","0","5","1","0","2","2","0","3","1","3","0","1","181","218","65","0","21","8","17","0","8","0","9","10","9","0","82","20","26","0","10","25","31","0","11","0","5","4","2","0","5","5"
"30-560 Cantwell","4","0","0","1","0","0","5","1","0","2","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","12","9","1","0","1","0","1","0","0","0","1","0","0","0","23","6","5","0","0","4","4","0","1","0","0","1","0","0","0","0"
"30-565 Denali Park","2","0","0","1","1","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","0","1","0","0","0","0","0","0","1","0","0","31","5","2","0","0","9","14","0","1","0","2","0","0","0","0","0"
"30-570 East Schrock","4","0","0","0","0","0","10","7","0","2","1","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","15","18","4","0","4","0","2","0","0","0","2","1","0","0","13","2","0","0","0","1","4","0","0","0","0","1","0","0","1","0"
"30-575 Healy","14","2","0","10","2","0","45","15","0","3","4","1","0","2","1","0","0","5","1","0","1","0","0","0","1","2","0","0","35","28","19","0","2","0","6","0","3","0","1","1","0","0","43","25","12","0","1","21","21","0","2","0","0","1","2","0","2","0"
"30-580 Houston","18","4","0","2","2","0","61","20","0","5","3","5","0","3","2","0","0","1","0","0","2","4","0","1","1","3","0","1","103","108","39","0","11","7","9","0","6","0","4","6","3","0","47","12","17","0","2","15","18","0","4","0","2","3","2","0","8","1"
"30-585 Knik Goose Bay No. 4","39","4","0","14","3","1","182","56","0","9","7","3","0","3","5","0","0","2","2","0","2","5","0","1","1","1","0","3","138","188","60","1","17","9","8","0","7","1","6","7","8","0","62","21","17","0","7","17","29","0","8","0","3","8","4","0","2","3"
"30-590 Trapper Creek","4","0","0","2","0","0","15","6","0","2","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","43","28","11","0","2","0","3","0","1","0","1","2","1","0","21","0","3","0","0","1","5","0","0","0","0","3","1","0","0","0"
"30-595 Susitna","20","5","0","5","2","0","46","15","0","3","3","2","0","1","2","1","0","6","0","0","3","1","0","0","0","2","0","0","82","84","28","0","11","5","3","0","2","0","5","3","1","0","52","13","11","0","1","23","22","0","1","0","2","2","2","0","4","1"
"30-600 Talkeetna","7","2","0","5","1","0","17","6","0","1","2","0","0","0","6","0","0","1","1","0","0","1","0","1","1","1","0","0","31","28","5","0","1","5","2","0","0","0","1","1","0","0","79","19","24","0","4","33","27","0","1","0","1","2","1","0","2","0"
"30-605 Willow","35","3","0","10","0","1","100","45","1","7","4","2","0","11","2","0","0","4","3","0","1","4","0","0","1","0","0","1","169","151","57","0","12","10","17","0","4","2","6","9","6","0","104","26","33","0","2","23","45","0","10","0","8","2","3","0","6","1"
"31-446 Aurora","30","3","0","8","5","0","69","30","0","9","5","6","1","6","2","1","0","9","2","0","1","4","0","1","4","4","0","1","75","102","42","0","11","3","10","0","0","0","4","8","2","0","147","32","61","0","11","48","61","0","9","0","6","14","5","0","3","0"
"31-455 Fairbanks No. 1","26","5","0","9","5","0","68","28","0","5","7","9","0","2","4","0","0","10","1","0","3","5","0","1","1","3","0","1","70","102","39","0","14","5","9","0","0","0","3","8","1","0","176","45","57","0","21","44","84","0","10","0","8","12","6","0","4","1"
"31-480 Fairbanks No. 2","39","4","0","12","8","0","59","40","0","18","11","7","0","10","1","2","0","4","4","0","1","0","0","0","2","5","0","0","63","79","34","0","16","0","8","0","4","0","4","11","1","0","159","48","52","2","22","52","59","0","4","0","6","13","3","0","6","1"
"31-485 Fairbanks No. 3","19","2","0","4","6","1","43","27","0","7","3","9","0","7","4","2","0","7","2","0","1","2","0","2","2","2","0","0","57","67","38","1","15","1","9","0","5","1","6","12","4","0","139","20","36","0","18","35","77","1","11","1","5","10","6","0","1","3"
"32-355 Fairbanks No. 4","41","4","0","7","4","0","56","20","0","3","1","8","0","1","2","1","0","8","4","0","0","1","0","0","3","2","0","0","49","73","34","0","7","4","8","0","3","0","4","6","4","0","128","22","43","0","5","29","53","1","9","1","2","7","3","0","6","1"
"32-365 Fairbanks No. 5","26","2","0","3","2","0","44","18","0","4","5","6","0","1","4","2","0","5","3","0","0","4","0","1","2","3","0","3","52","72","28","0","7","2","2","0","2","0","2","3","1","0","94","31","32","0","4","21","38","0","11","0","3","4","1","0","4","0"
"32-375 Fort Wainwright","7","0","0","7","0","0","8","4","0","3","0","0","0","1","1","2","0","4","2","0","1","0","0","0","0","1","0","0","2","16","14","0","4","0","4","0","0","0","0","0","0","0","14","1","6","0","0","8","12","0","5","0","0","2","3","0","0","0"
"32-385 Badger No. 2","48","7","0","12","5","0","116","39","0","11","6","12","0","7","1","1","0","5","1","0","1","10","0","3","2","3","0","0","125","172","68","0","19","5","11","0","4","0","1","8","3","0","108","25","43","1","11","26","55","0","6","0","3","4","6","0","7","0"
"33-130 Badger No. 1","34","4","0","26","7","1","115","45","0","9","6","2","0","5","2","5","0","9","1","0","1","5","0","1","0","8","0","1","128","179","63","0","13","9","12","0","2","0","3","5","3","0","79","27","46","0","3","38","46","0","2","0","9","4","5","0","5","1"
"33-135 Chena Lakes","43","3","0","20","4","0","109","62","0","8","5","11","0","4","7","6","0","14","0","0","0","9","0","0","0","3","0","0","143","185","75","0","14","5","15","0","3","0","4","3","3","0","66","24","19","0","6","21","30","0","5","0","4","6","5","0","6","2"
"33-155 Moose Creek","3","0","0","1","0","0","6","6","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","23","31","4","0","1","1","5","0","1","0","1","1","2","0","9","3","2","0","0","2","1","0","3","0","2","0","0","0","3","0"
"33-165 Newby","45","8","0","15","4","0","153","62","0","15","4","5","0","2","12","3","0","12","2","0","2","11","0","2","3","1","0","0","127","225","107","0","20","3","17","0","3","0","1","7","4","0","96","28","28","0","5","23","52","0","4","0","4","8","9","0","6","2"
"33-175 North Pole","24","8","0","16","5","0","70","28","0","3","6","6","0","5","2","2","0","1","1","0","0","3","0","0","0","0","0","0","64","90","36","0","5","3","14","0","2","0","5","3","4","0","42","11","16","0","2","15","19","0","6","0","5","5","3","0","3","1"
"33-183 Plack","47","4","0","14","4","1","115","56","0","11","6","2","0","5","3","2","0","9","2","0","4","12","0","3","2","0","0","0","86","231","89","0","13","5","19","0","6","0","6","7","4","0","72","19","15","0","3","18","28","0","5","0","6","9","8","0","5","0"
"34-235 Eielson","3","0","0","3","0","0","17","4","0","3","2","1","0","2","0","0","0","4","1","0","1","2","0","0","1","1","0","1","15","37","20","0","9","2","2","0","1","0","0","0","1","0","18","1","1","0","1","4","18","0","2","0","1","1","0","0","2","0"
"34-238 Eielson Farm Road","4","1","0","0","0","0","8","7","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","0","0","2","5","3","0","1","1","0","0","0","0","1","0","1","0","8","6","2","0","0","1","1","0","0","0","0","0","1","0","0","0"
"34-240 Farmers Loop","14","4","0","7","1","0","67","25","0","5","9","4","0","5","3","2","0","6","7","0","2","5","0","2","0","3","0","3","57","92","16","0","8","4","2","0","1","0","5","2","1","0","206","75","58","0","13","60","73","0","14","0","6","6","3","0","3","0"
"34-260 Salcha","19","0","0","1","1","0","42","21","0","5","4","2","0","3","4","1","0","4","1","0","0","4","0","0","1","5","0","1","86","78","29","0","4","3","7","0","4","0","5","3","3","0","31","12","16","0","5","7","10","0","3","0","2","0","3","0","0","0"
"34-263 Steele Creek","28","1","0","18","9","0","100","46","0","7","6","5","0","4","2","3","0","7","4","0","3","12","0","3","1","6","0","3","75","181","58","0","24","9","9","0","3","0","2","4","2","0","138","38","39","0","9","48","66","0","10","0","10","2","3","0","6","2"
"34-265 Steese","58","6","0","19","9","0","110","44","0","9","5","11","0","4","2","0","0","13","4","0","3","5","0","3","2","2","0","1","95","142","55","0","15","14","13","0","0","0","3","8","6","0","155","48","43","1","6","42","57","0","10","0","2","3","8","0","1","1"
"34-270 Summit","35","8","0","21","1","0","86","40","0","12","4","3","0","7","2","2","0","14","1","0","2","4","0","2","3","1","0","3","71","84","52","0","14","4","15","0","2","0","0","2","3","0","121","42","32","0","7","37","49","0","14","0","3","8","2","0","3","1"
"34-280 Two Rivers","27","0","0","8","4","0","42","21","0","5","2","2","0","2","1","4","0","1","0","0","1","2","0","2","1","6","0","0","50","69","34","0","5","3","7","0","4","0","2","4","1","0","64","13","11","0","4","22","34","0","3","0","3","4","2","0","3","1"
"35-580 Airport","13","1","0","3","3","0","17","10","0","3","5","2","0","1","0","2","0","3","1","0","0","2","0","0","0","1","0","1","31","55","11","0","4","4","5","0","0","0","1","3","1","0","35","13","14","0","3","11","16","0","3","0","3","8","2","0","1","0"
"35-582 Chena","44","8","0","18","8","0","131","57","0","13","10","10","0","2","5","5","0","7","4","0","1","6","0","1","3","2","0","1","56","161","73","0","13","6","11","0","4","1","6","13","0","0","257","107","62","0","17","59","93","0","18","0","10","9","8","0","2","0"
"35-584 Ester","13","4","0","9","2","0","27","20","0","7","5","4","0","3","2","4","0","3","2","0","1","3","0","0","2","2","0","0","22","59","16","0","5","3","4","0","1","0","3","4","2","0","165","44","32","0","7","33","51","0","5","0","4","2","2","0","0","1"
"35-586 Geist","24","0","0","5","2","0","33","11","0","5","6","6","0","3","3","2","0","3","3","0","2","1","0","0","0","1","0","1","28","72","23","0","6","0","3","0","1","0","7","5","1","0","109","33","23","0","10","25","52","0","6","0","3","15","2","0","2","0"
"35-587 Lakeview","5","1","0","0","0","0","3","3","0","2","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","1","26","14","9","0","3","1","3","0","0","0","2","2","0","0","15","2","2","0","0","7","8","0","0","0","0","2","1","0","0","0"
"35-592 Shanly","6","1","0","2","0","0","18","9","0","2","1","1","0","0","0","1","0","2","0","0","1","1","0","0","2","1","0","2","30","31","23","0","4","3","7","0","0","0","0","1","3","0","86","36","21","0","8","23","36","0","5","0","2","7","8","0","0","1"
"35-595 University Hills","6","1","0","6","4","0","37","22","0","1","3","2","0","3","2","1","0","3","3","0","0","0","0","0","2","3","0","0","10","47","21","0","3","0","4","0","1","0","1","3","1","0","157","76","42","0","4","36","69","0","5","0","4","0","5","0","0","0"
"35-596 University West","31","5","0","8","10","0","87","48","0","19","15","14","0","7","2","0","0","4","5","0","1","2","0","1","4","5","0","3","87","125","62","0","14","9","8","1","1","0","7","9","1","0","249","80","87","0","22","61","73","1","11","0","5","18","8","0","1","0"
"36-001 Goldstream No. 1","27","4","0","8","3","0","40","39","0","1","0","6","0","2","3","2","0","13","0","0","0","1","0","1","3","1","0","0","29","58","27","0","4","2","6","0","0","0","2","2","0","0","147","44","45","0","4","38","46","0","11","0","6","1","3","0","6","0"
"36-002 Goldstream No. 2","23","3","0","8","3","0","35","26","0","0","2","3","0","1","0","1","0","4","1","0","1","2","0","0","2","1","0","1","22","41","25","0","2","6","8","0","2","0","1","0","3","0","178","72","55","0","6","65","70","0","12","0","4","3","4","0","2","1"
"36-010 Allakaket","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","33","4","11","0","0","1","1","0","0","0","0","0","2","0","0","0"
"36-014 Anvik","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","11","1","0","0","4","0","4","0","0","0","0","1","2","0","1","0"
"36-018 Arctic Village","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","17","0","5","0","0","3","1","0","0","0","0","2","1","0","0","0"
"36-022 Beaver","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","6","2","3","0","2","2","4","0","0","0","0","0","1","0","0","0"
"36-026 Bettles","2","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"36-034 Central","3","0","0","0","0","0","3","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","12","3","1","0","1","2","2","0","0","0","0","1","0","0","4","1","0","0","1","1","1","0","0","0","0","0","0","0","1","0"
"36-038 Chistochina","4","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","20","5","3","0","4","0","2","0","0","0","1","0","0","0","17","0","5","0","0","0","1","0","0","0","0","1","0","0","0","0"
"36-042 Circle","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","10","0","3","0","0","0","0","0","0","1","0","0","0","0","1","0"
"36-046 Copper Center","12","3","0","1","0","0","27","9","0","1","2","1","0","1","0","1","0","0","1","0","1","2","0","0","0","1","0","0","33","45","21","0","2","0","3","0","0","0","0","3","1","0","32","15","24","0","3","4","16","1","1","0","2","2","2","0","5","0"
"36-050 Delta Junction","34","3","0","13","4","0","39","19","0","4","3","1","0","0","3","0","0","3","2","0","0","1","0","0","1","1","0","0","53","47","16","0","4","3","3","0","2","0","0","1","1","0","9","3","9","0","2","5","4","0","0","0","1","1","1","0","5","0"
"36-054 Deltana","111","10","0","22","6","0","170","68","0","12","2","5","0","4","3","3","0","8","4","0","1","5","0","0","1","1","0","1","149","189","45","1","13","9","17","0","2","0","2","5","0","0","65","15","20","0","5","16","29","0","6","0","1","1","2","0","16","4"
"36-058 Dot Lake","2","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","11","2","0","1","1","0","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-062 Eagle","5","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","6","0","0","0","0","0","0","0","0","1","0","0","0","6","1","0","0","2","1","0","0","0","0","0","0","0","0","0","1"
"36-066 Fort Yukon","4","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","4","0","0","0","0","2","0","0","0","0","1","0","0","68","6","17","0","3","2","10","0","0","0","2","0","2","0","2","0"
"36-070 Gakona","10","0","0","1","0","0","12","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","10","0","0","1","0","0","0","0","0","0","0","0","0","15","2","7","0","2","2","3","0","0","0","1","1","0","0","0","0"
"36-074 Galena","7","1","0","0","3","0","2","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","1","0","0","0","6","2","4","0","1","0","0","0","0","0","0","1","0","0","54","5","16","0","5","5","8","0","4","0","0","2","0","0","0","0"
"36-078 Glennallen","5","1","0","3","0","0","14","12","0","3","1","0","0","0","2","1","0","2","0","0","0","0","0","0","0","0","0","0","23","24","9","0","3","2","1","0","0","0","1","0","0","0","15","1","6","0","2","6","7","0","1","0","0","1","0","0","2","0"
"36-082 Grayling","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","8","1","1","0","0","0","0","0","0","0","1","0","0","0","21","1","2","0","1","1","2","0","0","0","0","3","0","0","1","1"
"36-086 Holy Cross","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","10","3","4","0","2","0","5","0","0","0","0","2","0","0","0","1"
"36-090 Hughes","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","7","2","6","0","0","1","6","0","0","0","1","0","0","0","2","0"
"36-094 Huslia","5","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","2","0","0","0","0","0","0","0","32","1","19","0","2","0","10","0","0","0","1","0","0","0","0","0"
"36-098 Kaltag","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","1","3","0","1","0","2","0","0","0","0","1","1","0","0","0"
"36-102 Kenny Lake","11","0","0","0","0","0","14","6","0","1","0","2","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","24","23","11","0","3","0","2","0","0","0","0","1","0","0","21","5","4","0","0","8","8","0","0","0","1","1","1","0","2","0"
"36-106 Koyukuk","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","15","1","4","0","0","1","5","0","2","0","0","0","0","0","1","0"
"36-110 Manley","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","4","3","0","0","1","1","0","0","1","0","0","0","0","4","1","3","0","0","1","2","0","0","0","0","0","0","0","0","0"
"36-114 McGrath","6","0","0","0","1","0","10","4","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","8","2","0","1","1","0","0","0","0","0","0","0","0","19","2","5","0","2","2","2","0","1","0","0","1","0","0","1","0"
"36-118 Mentasta","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","1","0","0","15","0","2","0","2","0","2","0","0","0","1","0","1","0","0","0"
"36-122 Minto","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","14","2","2","0","4","2","8","0","1","0","0","0","1","0","0","1"
"36-126 Nenana","15","5","0","5","2","0","20","16","0","5","1","3","0","0","2","0","0","0","0","0","0","2","0","0","1","1","0","0","29","22","14","0","6","2","7","0","1","0","1","1","1","0","50","13","11","0","1","8","14","0","2","0","3","3","0","0","4","0"
"36-130 Nikolai","4","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","14","0","5","0","2","1","3","0","2","0","0","0","1","0","0","0"
"36-134 Northway","4","0","0","0","2","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","31","3","14","0","1","1","4","0","0","0","0","2","0","0","3","0"
"36-138 Nulato","3","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","6","13","0","2","1","2","0","1","0","1","1","0","0","0","1"
"36-142 Ruby","4","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","6","0","0","1","2","0","0","0","1","0","0","0","0","0"
"36-146 Shageluk","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","2","0","2","0","3","0","0","0","0","0","1","0","0","0"
"36-162 Tanana","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","39","3","6","0","2","3","6","0","1","0","0","0","0","0","0","0"
"36-166 Tetlin","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","7","0","4","0","2","0","1","0","0","2","2","0","0","0"
"36-170 Tok","37","2","0","6","1","0","30","10","0","3","5","3","0","2","3","0","0","0","1","0","0","2","0","0","0","3","0","0","107","89","21","0","3","6","6","0","1","0","3","6","1","0","58","14","14","0","1","7","9","0","1","0","3","8","4","0","1","1"
"36-174 Venetie","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","29","1","1","0","0","1","0","0","0","0","0","2","0","0","1","1"
"37-700 Akutan","3","0","0","2","2","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","4","0","3","0","1","0","0","0","1","0","1","1","0","0","9","1","2","0","1","0","4","0","0","0","1","0","0","0","2","3"
