"1","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Fletcher","Fletcher","Fletcher","Fletcher","Overvote","Williams","Williams","Williams","Write-in","Write-in","Write-in","","Cronk","Cronk","Cronk","Cronk","Overvote","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","","Cronk","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Fletcher","Overvote","Write-in","Write-in","","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Williams","Williams","Williams","",""
"3","","","Overvote","Williams","Write-in","","","Fletcher","Write-in","","Fletcher","Williams","","","Overvote","Williams","Write-in","","","Cronk","Write-in","","Cronk","Overvote","Williams","","","Fletcher","Write-in","","Cronk","Overvote","Write-in","","Cronk","Fletcher","","","Fletcher","","Cronk","Williams","","Cronk","Fletcher","",""
"36-122 Minto","16","0","0","7","0","0","0","1","0","0","0","0","15","2","0","2","0","0","0","2","0","0","0","0","0","4","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-126 Nenana","149","5","0","14","1","0","11","10","0","0","0","0","48","13","0","5","0","1","5","11","0","1","0","0","0","12","2","4","0","2","7","1","0","0","1","0","2","0","0","0","0","0","0","0","0","9","0"
"36-130 Nikolai","5","0","0","1","0","0","0","0","0","0","0","0","6","1","0","0","0","0","1","3","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"36-134 Northway","38","2","1","10","0","1","2","10","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"36-138 Nulato","37","1","0","4","0","0","0","0","0","0","0","0","18","0","0","1","0","0","0","2","0","0","0","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1"
"36-142 Ruby","19","1","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"36-146 Shageluk","2","2","0","6","0","0","0","0","0","0","0","0","4","0","0","2","0","0","0","2","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-162 Tanana","34","1","0","4","0","0","1","0","0","1","0","0","19","2","0","1","0","0","1","0","0","0","0","0","1","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"36-166 Tetlin","21","0","0","5","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-170 Tok","326","10","0","18","0","1","16","31","1","1","0","1","41","7","0","7","0","0","7","2","1","0","0","0","1","18","2","3","0","2","8","0","0","0","0","0","3","0","0","0","0","0","0","1","0","14","0"
"36-174 Venetie","10","0","0","2","0","0","0","0","0","0","0","0","24","1","0","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"District 35 - Absentee","370","19","0","10","1","0","24","42","2","2","0","1","540","26","1","28","0","0","50","65","3","1","1","0","2","24","2","13","0","13","12","0","1","0","1","0","1","0","0","0","0","1","0","0","0","66","0"
"District 35 - Early Voting","843","17","1","29","0","0","74","73","10","3","0","1","972","37","0","49","0","0","159","164","9","3","0","0","6","59","12","15","0","21","21","0","0","0","0","0","4","0","0","0","1","1","0","0","0","86","0"
"District 35  - Question","35","3","0","7","0","0","2","3","0","1","0","0","34","3","0","3","0","0","3","4","1","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0"
"House District 36 - Judicial District 3","323","11","0","15","0","1","19","21","2","0","1","1","115","24","0","9","0","0","17","18","2","1","0","0","0","23","4","3","0","6","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","46","0"
"House District 36 - Judicial District 4","1034","40","0","69","0","4","75","69","3","0","0","3","611","48","0","59","1","2","105","87","7","2","2","0","5","72","22","11","0","15","27","0","3","0","0","0","8","1","1","0","0","0","0","1","0","122","2"
"Total","7388","250","2","450","3","9","579","647","41","16","2","16","5042","327","2","386","1","4","770","886","49","21","4","2","25","600","106","126","4","116","203","1","8","2","2","2","36","2","3","2","2","2","1","3","3","745","12"
