"1","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Overvote"
"2","","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","",""
"3","","","Murkowski","Overvote","Tshibaka","","Kelley","Overvote","Tshibaka","","","Kelley","Murkowski","Overvote","","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Murkowski","Overvote","","","Kelley","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Kelley","Overvote","","","Kelley","Murkowski","Overvote","","Chesbro","Murkowski","Overvote","","Chesbro","Kelley","Overvote","","",""
"02-775 Tenakee Springs","1","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","8","3","0","0","1","0","0","0","0","1","0","0","0","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"02-780 Thorne Bay","0","1","0","0","1","7","1","0","0","0","0","1","1","0","6","0","0","0","1","2","0","0","1","0","4","2","2","0","7","6","5","0","1","2","3","0","1","0","0","0","3","0","46","0","2","0","0","20","5","19","0","4","1","4","0","0","2","0"
"02-785 Yakutat","7","1","1","0","1","3","3","0","2","0","0","0","3","0","2","0","0","0","0","1","2","0","1","0","1","0","1","0","48","19","17","0","6","0","2","0","5","0","4","4","6","0","14","0","0","0","0","6","5","6","0","3","0","3","0","0","3","0"
"03-300 Auke Bay","9","0","0","0","1","30","11","0","4","0","0","2","0","0","4","0","0","0","0","1","0","0","1","0","0","0","1","0","90","112","42","0","3","6","9","0","5","0","12","6","12","0","73","0","2","2","0","40","8","25","0","18","3","7","0","0","5","0"
"03-305 Lynn Canal","7","0","0","0","0","30","8","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","1","1","0","0","85","93","55","0","3","6","4","0","2","0","14","4","6","0","66","2","2","1","0","26","9","20","0","12","2","9","0","0","2","0"
"03-310 Melvin Park","11","0","3","0","0","27","9","0","4","0","1","1","1","0","2","1","0","0","3","3","4","0","2","0","3","0","1","0","73","83","50","0","17","8","14","0","7","2","20","5","7","0","93","0","2","0","0","45","6","13","0","12","4","9","0","1","4","0"
"03-315 Mendenhall Glacier","15","2","1","0","2","43","14","0","2","0","2","3","1","0","10","1","4","0","3","3","1","0","0","0","0","1","3","0","155","116","84","0","18","7","18","0","11","1","10","10","24","0","151","2","9","3","0","81","14","45","0","31","6","26","0","0","1","0"
"03-320 Thunder Mountain","25","0","4","0","1","43","9","0","5","0","0","3","0","0","12","0","0","0","0","4","0","0","1","0","2","1","1","0","165","96","61","0","10","7","14","0","2","2","26","8","10","0","160","1","3","2","0","65","7","36","0","37","3","19","0","0","6","1"
"03-325 Gustavus","5","0","0","0","1","19","3","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","39","47","6","0","2","0","3","0","1","0","1","2","1","0","28","0","3","0","0","10","3","6","0","1","2","2","0","0","0","0"
"03-330 Haines No. 1","11","0","1","0","5","50","10","0","2","0","1","1","2","0","12","2","1","0","1","0","0","0","0","0","4","0","1","0","117","107","52","0","2","3","12","0","5","0","18","5","9","0","108","2","6","1","0","51","7","22","0","19","1","13","0","0","5","0"
