"1","Stein/Ware","West/Abdullah","Blank","Exhausted","Overvote"
"39-952 White Mountain","16","15","0","38","0"
"40-002 Ambler","8","5","3","27","1"
"40-004 Anaktuvuk Pass","6","6","2","43","1"
"40-006 Atqasuk","6","4","1","25","1"
"40-008 Utqiagvik","38","37","0","174","0"
"40-010 Browerville","124","111","3","400","9"
"40-012 Buckland","25","13","0","43","3"
"40-014 Deering","11","11","0","14","1"
"40-016 Kaktovik","6","5","0","62","0"
"40-018 Kiana","0","0","1","59","0"
"40-020 Kivalina","8","8","1","43","2"
"40-022 Kobuk","2","3","0","31","2"
"40-024 Kotzebue","116","99","6","345","8"
"40-026 Noatak","30","12","2","57","4"
"40-028 Noorvik","17","16","2","61","0"
"40-030 Nuiqsut","3","6","2","29","4"
"40-032 Point Hope","1","2","1","116","0"
"40-034 Point Lay","7","7","0","16","0"
"40-036 Selawik","14","11","0","51","2"
"40-038 Shungnak","6","12","0","27","5"
"40-040 Wainwright","20","16","0","91","2"
"District 1 - Absentee","325","137","15","2552","14"
"District 1 - Early Voting","5","3","0","12","0"
"District 1  - Question","75","32","2","386","3"
"District 10 - Absentee","241","119","22","1587","3"
"District 10 - Early Voting","178","88","4","1283","4"
"District 10  - Question","40","21","2","191","4"
"District 11 - Absentee","324","151","31","2048","5"
"District 11 - Early Voting","219","96","9","1454","6"
"District 11  - Question","37","16","0","183","2"
"District 12 - Absentee","287","118","9","1565","4"
"District 12 - Early Voting","221","93","2","1283","1"
"District 12  - Question","49","26","3","158","4"
"District 13 - Absentee","259","127","9","1263","2"
"District 13 - Early Voting","195","101","7","1084","5"
"District 13  - Question","64","26","2","249","5"
"District 14 - Absentee","290","170","10","1381","10"
"District 14 - Early Voting","240","120","6","1261","8"
"District 14  - Question","83","53","3","286","9"
"District 15 - Absentee","239","146","17","1742","1"
"District 15 - Early Voting","195","116","5","1426","1"
"District 15  - Question","38","35","3","203","4"
"District 16 - Absentee","307","171","12","1764","4"
"District 16 - Early Voting","226","174","10","1419","8"
"District 16  - Question","49","36","1","212","4"
"District 17 - Absentee","341","155","12","1751","10"
"District 17 - Early Voting","353","158","4","1575","15"
"District 17  - Question","83","39","4","258","15"
"District 18 - Absentee","202","104","5","1256","4"
"District 18 - Early Voting","73","38","0","396","1"
"District 18  - Question","106","68","3","654","4"
"District 19 - Absentee","191","106","3","831","13"
"District 19 - Early Voting","145","80","2","596","7"
"District 19  - Question","56","37","3","292","13"
"District 2 - Absentee","620","246","25","3763","19"
"District 2 - Early Voting","16","3","0","56","1"
"District 2  - Question","59","24","2","180","7"
"District 20 - Absentee","274","147","6","1375","4"
"District 20 - Early Voting","202","120","3","969","6"
"District 20  - Question","80","45","2","237","9"
