"1","Oliver/Maat","Terry/Broden","Blank","Exhausted","Overvote"
"District 3  - Question","58","22","1","224","3"
"District 31 - Absentee","169","69","14","911","5"
"District 31 - Early Voting","300","132","10","1506","19"
"District 31  - Question","70","28","2","225","3"
"District 32 - Absentee","158","79","5","768","5"
"District 32 - Early Voting","168","84","4","832","6"
"District 32  - Question","174","135","4","527","2"
"District 33 - Absentee","174","76","5","1010","2"
"District 33 - Early Voting","223","112","4","1350","4"
"District 33  - Question","50","41","0","210","4"
"District 34 - Absentee","219","79","16","1250","4"
"District 34 - Early Voting","343","123","7","2064","8"
"District 34  - Question","113","70","4","494","2"
"District 35 - Absentee","198","56","5","1157","5"
"District 35 - Early Voting","410","129","8","2115","8"
"District 35  - Question","67","29","1","228","1"
"District 38 - Absentee","84","70","4","375","3"
"District 38 - Early Voting","4","11","0","15","0"
"District 38  - Question","51","54","2","157","6"
"District 4 - Absentee","190","61","8","1406","3"
"District 4 - Early Voting","408","178","15","3245","10"
"District 4  - Question","80","46","5","292","4"
"District 40 - Absentee","71","27","4","345","2"
"District 40 - Early Voting","7","4","1","33","1"
"District 40  - Question","38","49","2","160","3"
"District 5 - Absentee","363","173","28","2564","13"
"District 5 - Early Voting","7","7","0","48","0"
"District 5  - Question","48","53","1","262","3"
"District 6 - Absentee","218","133","21","2016","1"
"District 6 - Early Voting","328","173","14","3551","3"
"District 6  - Question","39","24","1","276","0"
"District 7 - Absentee","186","78","8","1431","4"
"District 7 - Early Voting","349","165","20","3101","10"
"District 7  - Question","54","23","2","217","1"
"District 8 - Absentee","229","112","16","1909","4"
"District 8 - Early Voting","249","158","11","2754","6"
"District 8  - Question","25","24","1","146","1"
"District 9 - Absentee","413","102","31","2750","4"
"District 9 - Early Voting","229","90","8","1833","2"
"District 9  - Question","51","18","1","183","0"
"HD99 Fed Overseas Absentee","58","20","0","323","0"
"House District 30 - Judicial District 3","393","254","28","3691","14"
"House District 30 - Judicial District 4","58","33","1","450","2"
"House District 36 - Judicial District 3","79","46","7","588","1"
"House District 36 - Judicial District 4","336","200","18","2195","16"
"House District 37 - Judicial District 3","150","117","6","956","12"
"House District 37 - Judicial District 4","28","17","1","152","1"
"House District 39 - Judicial District 2","147","56","7","556","10"
"House District 39 - Judicial District 4","30","19","0","78","5"
"Total","44845","22297","1888","270327","1421"
