"1","Kennedy/Shanahan","West/Abdullah","Blank","Exhausted","Overvote"
"District 31 - Absentee","197","105","14","849","3"
"District 31 - Early Voting","337","209","10","1392","19"
"District 31  - Question","79","40","2","204","3"
"District 32 - Absentee","179","84","5","743","4"
"District 32 - Early Voting","209","101","4","774","6"
"District 32  - Question","295","79","4","463","1"
"District 33 - Absentee","231","79","5","951","1"
"District 33 - Early Voting","353","86","4","1246","4"
"District 33  - Question","87","21","0","194","3"
"District 34 - Absentee","242","133","16","1171","6"
"District 34 - Early Voting","436","209","7","1885","8"
"District 34  - Question","216","40","4","421","2"
"District 35 - Absentee","204","143","5","1064","5"
"District 35 - Early Voting","383","307","8","1964","8"
"District 35  - Question","94","34","1","197","0"
"District 38 - Absentee","116","51","4","362","3"
"District 38 - Early Voting","10","5","0","15","0"
"District 38  - Question","91","33","2","138","6"
"District 4 - Absentee","169","208","8","1281","2"
"District 4 - Early Voting","441","393","15","2996","11"
"District 4  - Question","109","47","5","262","4"
"District 40 - Absentee","99","39","4","305","2"
"District 40 - Early Voting","11","1","1","32","1"
"District 40  - Question","68","31","2","148","3"
"District 5 - Absentee","487","244","28","2370","12"
"District 5 - Early Voting","4","7","0","51","0"
"District 5  - Question","103","37","1","223","3"
"District 6 - Absentee","272","194","21","1901","1"
"District 6 - Early Voting","452","278","14","3324","1"
"District 6  - Question","69","20","1","250","0"
"District 7 - Absentee","266","93","8","1334","6"
"District 7 - Early Voting","574","168","20","2875","8"
"District 7  - Question","76","21","2","197","1"
"District 8 - Absentee","312","131","16","1808","3"
"District 8 - Early Voting","482","133","11","2547","5"
"District 8  - Question","42","13","1","140","1"
"District 9 - Absentee","422","279","31","2563","5"
"District 9 - Early Voting","284","128","8","1740","2"
"District 9  - Question","70","24","1","158","0"
"HD99 Fed Overseas Absentee","36","65","0","300","0"
"House District 30 - Judicial District 3","614","235","28","3488","15"
"House District 30 - Judicial District 4","78","52","1","411","2"
"House District 36 - Judicial District 3","134","48","7","531","1"
"House District 36 - Judicial District 4","453","220","18","2059","15"
"House District 37 - Judicial District 3","232","99","6","893","11"
"House District 37 - Judicial District 4","42","16","1","138","2"
"House District 39 - Judicial District 2","161","95","7","503","10"
"House District 39 - Judicial District 4","42","24","0","62","4"
"Total","60969","26102","1888","250468","1351"
