"1","Sonski/Onak","Terry/Broden","Blank","Exhausted","Overvote"
"39-930 Pilot Station","34","20","0","34","6"
"39-931 Russian Mission","2","9","2","45","1"
"39-932 Savoonga","44","18","1","88","8"
"39-934 Scammon Bay","31","24","0","45","8"
"39-936 Shaktoolik","12","6","2","35","2"
"39-938 Shishmaref","31","26","2","112","4"
"39-940 St. Mary's","21","10","2","82","2"
"39-942 St. Michael","16","6","3","37","3"
"39-944 Stebbins","32","10","0","25","6"
"39-946 Teller","8","9","0","19","0"
"39-948 Unalakleet","46","26","1","143","5"
"39-950 Wales","3","0","0","5","0"
"39-952 White Mountain","22","4","0","43","0"
"40-002 Ambler","8","5","3","26","2"
"40-004 Anaktuvuk Pass","5","6","2","44","1"
"40-006 Atqasuk","6","4","1","25","1"
"40-008 Utqiagvik","50","25","0","174","0"
"40-010 Browerville","124","100","3","411","9"
"40-012 Buckland","13","24","0","44","3"
"40-014 Deering","15","6","0","15","1"
"40-016 Kaktovik","8","5","0","60","0"
"40-018 Kiana","0","1","1","58","0"
"40-020 Kivalina","5","9","1","45","2"
"40-022 Kobuk","1","3","0","32","2"
"40-024 Kotzebue","119","90","6","352","7"
"40-026 Noatak","18","22","2","58","5"
"40-028 Noorvik","16","14","2","64","0"
"40-030 Nuiqsut","5","4","2","29","4"
"40-032 Point Hope","2","1","1","116","0"
"40-034 Point Lay","8","6","0","15","1"
"40-036 Selawik","17","9","0","50","2"
"40-038 Shungnak","9","8","0","28","5"
"40-040 Wainwright","25","13","0","89","2"
"District 1 - Absentee","202","140","15","2674","12"
"District 1 - Early Voting","4","3","0","13","0"
"District 1  - Question","58","39","2","397","2"
"District 10 - Absentee","128","106","22","1712","4"
"District 10 - Early Voting","105","94","4","1351","3"
"District 10  - Question","27","24","2","202","3"
"District 11 - Absentee","153","138","31","2232","5"
"District 11 - Early Voting","132","100","9","1537","6"
"District 11  - Question","26","28","0","182","2"
"District 12 - Absentee","139","129","9","1701","5"
"District 12 - Early Voting","104","125","2","1368","1"
"District 12  - Question","36","35","3","162","4"
"District 13 - Absentee","101","129","9","1419","2"
"District 13 - Early Voting","104","132","7","1145","4"
"District 13  - Question","34","47","2","258","5"
"District 14 - Absentee","152","157","10","1530","12"
"District 14 - Early Voting","121","102","6","1401","5"
"District 14  - Question","53","73","3","296","9"
"District 15 - Absentee","155","100","17","1870","3"
"District 15 - Early Voting","132","102","5","1502","2"
"District 15  - Question","41","25","3","210","4"
"District 16 - Absentee","155","132","12","1953","6"
"District 16 - Early Voting","152","108","10","1557","10"
"District 16  - Question","41","33","1","223","4"
"District 17 - Absentee","151","113","12","1984","9"
"District 17 - Early Voting","180","147","4","1760","14"
"District 17  - Question","64","32","4","283","16"
"District 18 - Absentee","126","131","5","1306","3"
"District 18 - Early Voting","47","36","0","424","1"
"District 18  - Question","90","83","3","655","4"
"District 19 - Absentee","89","93","3","945","14"
"District 19 - Early Voting","79","61","2","683","5"
"District 19  - Question","39","49","3","299","11"
"District 2 - Absentee","339","260","25","4029","20"
"District 2 - Early Voting","7","6","0","62","1"
"District 2  - Question","49","18","2","197","6"
"District 20 - Absentee","142","143","6","1511","4"
"District 20 - Early Voting","109","108","3","1075","5"
"District 20  - Question","54","53","2","257","7"
"District 21 - Absentee","156","176","7","2130","6"
"District 21 - Early Voting","90","134","4","1305","8"
"District 21  - Question","46","66","4","274","12"
"District 22 - Absentee","106","129","7","975","8"
"District 22 - Early Voting","62","92","3","759","7"
"District 22  - Question","41","66","3","198","6"
"District 23 - Absentee","196","191","15","2332","4"
"District 23 - Early Voting","204","233","12","3064","4"
"District 23  - Question","52","30","0","241","1"
"District 24 - Absentee","142","147","14","1745","2"
"District 24 - Early Voting","180","217","12","2846","5"
"District 24  - Question","38","36","4","257","0"
"District 25 - Absentee","100","112","13","1364","8"
"District 25 - Early Voting","225","198","9","2992","2"
"District 25  - Question","58","40","2","334","3"
"District 26 - Absentee","81","89","5","1205","7"
"District 26 - Early Voting","165","152","7","2370","4"
"District 26  - Question","48","42","2","332","2"
"District 27 - Absentee","106","72","6","1125","2"
"District 27 - Early Voting","158","169","5","2402","6"
"District 27  - Question","50","66","2","377","2"
"District 28 - Absentee","73","121","4","1190","5"
"District 28 - Early Voting","166","200","12","2664","3"
"District 28  - Question","42","48","2","344","1"
"District 29 - Absentee","104","152","14","1752","5"
"District 29 - Early Voting","116","214","10","2467","5"
"District 29  - Question","28","48","5","302","3"
"District 3 - Absentee","192","142","8","2341","2"
"District 3 - Early Voting","230","149","14","3162","5"
"District 3  - Question","37","28","1","239","3"
"District 31 - Absentee","121","90","14","937","6"
"District 31 - Early Voting","219","165","10","1552","21"
"District 31  - Question","55","27","2","241","3"
"District 32 - Absentee","83","111","5","811","5"
"District 32 - Early Voting","96","119","4","869","6"
"District 32  - Question","114","164","4","558","2"
"District 33 - Absentee","87","108","5","1065","2"
"District 33 - Early Voting","143","139","4","1403","4"
"District 33  - Question","35","50","0","216","4"
"District 34 - Absentee","107","117","16","1322","6"
"District 34 - Early Voting","194","175","7","2160","9"
"District 34  - Question","69","85","4","523","2"
"District 35 - Absentee","109","90","5","1212","5"
"District 35 - Early Voting","228","175","8","2251","8"
