"1","Terry/Broden","Trump/Vance","Blank","Exhausted","Overvote"
"36-126 Nenana","21","205","3","83","2"
"36-130 Nikolai","2","9","0","15","1"
"36-134 Northway","8","46","0","14","3"
"36-138 Nulato","8","13","0","55","1"
"36-142 Ruby","0","14","0","16","0"
"36-146 Shageluk","9","7","0","6","1"
"36-162 Tanana","5","18","0","56","0"
"36-166 Tetlin","2","16","0","12","0"
"36-170 Tok","31","415","9","66","1"
"36-174 Venetie","2","13","1","29","0"
"37-700 Akutan","3","24","0","21","1"
"37-702 Aleknagik","7","47","1","12","2"
"37-704 Aleutians No. 1","1","8","1","9","0"
"37-706 Aleutians No. 2","22","306","1","202","3"
"37-707 Aniak","16","45","1","43","2"
"37-708 Chignik","3","5","1","7","0"
"37-709 Chuathbaluk","3","11","0","4","1"
"37-710 Clark's Point","4","8","0","7","0"
"37-712 Cold Bay","0","13","1","6","0"
"37-713 Crooked Creek","2","5","0","12","0"
"37-714 Dillingham","43","280","6","220","1"
"37-716 Egegik","0","10","0","1","0"
"37-718 Ekwok","2","23","0","9","0"
"37-719 Goodnews Bay","19","21","1","15","2"
"37-720 King Cove","6","82","1","18","4"
"37-722 King Salmon","10","82","2","34","0"
"37-724 Koliganek","8","40","0","24","0"
"37-726 Lake Iliamna No. 1","4","75","0","23","1"
"37-728 Lake Iliamna No. 2","9","40","1","26","2"
"37-730 Levelock","2","7","0","13","2"
"37-731 Lower Kalskag","12","35","1","13","0"
"37-732 Manokotak","6","78","0","18","2"
"37-734 Naknek","6","92","1","42","1"
"37-736 New Stuyahok","1","8","1","43","0"
"37-738 Nondalton","10","14","0","12","8"
"37-740 Pedro Bay","1","9","0","4","0"
"37-742 Port Heiden","3","12","0","9","0"
"37-744 Sand Point","4","84","2","33","0"
"37-746 Sleetmute","7","9","0","7","1"
"37-748 South Naknek","1","5","2","9","1"
"37-750 St. George Island","1","3","1","2","0"
"37-752 St. Paul Island","10","29","2","66","0"
"37-754 Togiak","24","88","3","22","12"
"37-756 Tyonek","3","9","0","25","0"
"37-758 Upper Kalskag","8","22","0","22","5"
"38-800 Akiachak","25","74","1","55","6"
"38-802 Akiak","7","39","3","41","0"
"38-806 Atmautluak","5","11","2","25","2"
"38-808 Bethel No. 1","85","273","1","214","8"
"38-810 Bethel No. 2","71","294","3","203","4"
"38-812 Chefornak","15","21","0","59","1"
"38-818 Eek","11","46","1","36","1"
"38-822 Kasigluk","18","17","0","29","1"
"38-824 Kipnuk","12","56","0","37","8"
"38-826 Kongiganak","25","44","3","17","5"
"38-828 Kwethluk","50","43","0","36","4"
"38-830 Kwigillingok","9","52","0","17","3"
"38-836 Mekoryuk","13","32","1","19","4"
"38-838 Napakiak","10","33","2","25","1"
"38-840 Napaskiak","22","25","0","20","1"
"38-842 Newtok","18","24","0","8","6"
"38-844 Nightmute","3","13","2","14","2"
"38-846 Nunapitchuk","19","43","0","35","1"
"38-848 Quinhagak","19","57","1","52","5"
"38-852 Toksook Bay","45","80","3","44","8"
"38-854 Tuluksak","1","2","0","0","0"
"38-856 Tuntutuliak","20","56","0","39","2"
"38-858 Tununak","28","23","0","25","5"
