"1","Kennedy/Shanahan","Trump/Vance","Blank","Exhausted","Overvote"
"District 2  - Question","39","156","2","70","5"
"District 20 - Absentee","209","616","6","971","4"
"District 20 - Early Voting","169","586","3","535","7"
"District 20  - Question","57","199","2","109","6"
"District 21 - Absentee","270","831","7","1360","7"
"District 21 - Early Voting","163","720","4","646","8"
"District 21  - Question","59","211","4","119","9"
"District 22 - Absentee","173","494","7","544","7"
"District 22 - Early Voting","110","458","3","349","3"
"District 22  - Question","43","195","3","69","4"
"District 23 - Absentee","259","1333","15","1129","2"
"District 23 - Early Voting","255","2233","12","1014","3"
"District 23  - Question","45","213","0","65","1"
"District 24 - Absentee","200","1103","14","732","1"
"District 24 - Early Voting","217","2223","12","802","6"
"District 24  - Question","39","227","4","65","0"
"District 25 - Absentee","140","880","13","558","6"
"District 25 - Early Voting","278","2240","9","897","2"
"District 25  - Question","48","331","2","54","2"
"District 26 - Absentee","92","908","5","378","4"
"District 26 - Early Voting","146","2139","7","402","4"
"District 26  - Question","33","335","2","55","1"
"District 27 - Absentee","104","879","6","321","1"
"District 27 - Early Voting","135","2139","5","453","8"
"District 27  - Question","41","413","2","39","2"
"District 28 - Absentee","99","886","4","401","3"
"District 28 - Early Voting","179","2294","12","559","1"
"District 28  - Question","40","346","2","48","1"
"District 29 - Absentee","174","1201","14","633","5"
"District 29 - Early Voting","140","2134","10","523","5"
"District 29  - Question","37","293","5","50","1"
"District 3 - Absentee","280","871","8","1523","3"
"District 3 - Early Voting","294","1453","14","1796","3"
"District 3  - Question","57","150","1","97","3"
"District 31 - Absentee","141","561","14","447","5"
"District 31 - Early Voting","244","949","10","746","18"
"District 31  - Question","41","202","2","80","3"
"District 32 - Absentee","93","579","5","334","4"
"District 32 - Early Voting","115","677","4","295","3"
"District 32  - Question","74","674","4","89","1"
"District 33 - Absentee","105","750","5","406","1"
"District 33 - Early Voting","142","1225","4","320","2"
"District 33  - Question","32","232","0","37","4"
"District 34 - Absentee","145","758","16","645","4"
"District 34 - Early Voting","219","1400","7","912","7"
"District 34  - Question","68","499","4","111","1"
"District 35 - Absentee","162","549","5","701","4"
"District 35 - Early Voting","293","1107","8","1257","5"
"District 35  - Question","44","199","1","82","0"
