"1","Stein/Ware","Trump/Vance","Blank","Exhausted","Overvote"
"29-535 Valdez No. 1","37","312","3","123","0"
"29-540 Valdez No. 2","28","140","1","55","0"
"29-545 Valdez No. 3","35","256","4","83","1"
"30-550 Anderson/Clear","4","110","0","23","0"
"30-555 Big Lake","58","973","8","149","6"
"30-560 Cantwell","9","46","1","30","0"
"30-565 Denali Park","25","12","0","35","0"
"30-570 East Schrock","9","73","0","8","0"
"30-575 Healy","30","258","1","85","0"
"30-580 Houston","26","425","0","71","3"
"30-585 Knik Goose Bay No. 4","50","893","6","166","0"
"30-590 Trapper Creek","9","83","1","26","0"
"30-595 Susitna","36","370","3","88","0"
"30-600 Talkeetna","53","109","3","95","0"
"30-605 Willow","43","760","5","186","2"
"31-446 Aurora","91","514","5","282","0"
"31-455 Fairbanks No. 1","133","465","7","332","4"
"31-480 Fairbanks No. 2","124","506","12","270","2"
"31-485 Fairbanks No. 3","133","488","3","244","6"
"32-355 Fairbanks No. 4","117","470","4","211","2"
"32-365 Fairbanks No. 5","73","334","3","177","2"
"32-375 Fort Wainwright","34","288","0","54","1"
"32-385 Badger No. 2","82","895","6","197","0"
"33-130 Badger No. 1","90","886","4","199","4"
"33-135 Chena Lakes","56","979","6","137","1"
"33-155 Moose Creek","12","112","1","23","0"
"33-165 Newby","83","997","9","160","0"
"33-175 North Pole","59","575","2","101","1"
"33-183 Plack","55","960","0","123","0"
"34-235 Eielson","25","258","0","48","1"
"34-238 Eielson Farm Road","2","48","0","8","0"
"34-240 Farmers Loop","154","428","7","322","0"
"34-260 Salcha","22","433","2","78","1"
"34-263 Steele Creek","107","701","3","235","3"
"34-265 Steese","100","640","8","275","4"
"34-270 Summit","85","548","11","233","3"
"34-280 Two Rivers","41","367","3","92","0"
"35-580 Airport","27","216","3","88","1"
"35-582 Chena","210","767","10","442","3"
"35-584 Ester","127","230","2","205","3"
"35-586 Geist","82","320","1","177","0"
"35-587 Lakeview","5","88","0","30","0"
"35-592 Shanly","75","210","2","144","1"
"35-595 University Hills","122","246","8","243","1"
"35-596 University West","189","691","11","399","1"
"36-001 Goldstream No. 1","108","322","7","212","2"
"36-002 Goldstream No. 2","150","289","10","326","3"
"36-010 Allakaket","14","1","1","23","1"
"36-014 Anvik","3","8","0","14","0"
"36-018 Arctic Village","4","5","0","43","1"
"36-022 Beaver","1","4","0","12","0"
"36-026 Bettles","2","5","0","4","0"
"36-034 Central","1","32","0","7","1"
"36-038 Chistochina","0","56","0","13","2"
"36-042 Circle","4","5","0","11","0"
"36-046 Copper Center","29","254","2","68","1"
"36-050 Delta Junction","14","313","2","27","2"
"36-054 Deltana","34","1055","5","104","0"
"36-058 Dot Lake","0","45","0","4","0"
"36-062 Eagle","4","47","1","17","0"
"36-066 Fort Yukon","8","32","2","96","2"
"36-070 Gakona","3","84","4","19","0"
"36-074 Galena","17","68","0","60","1"
"36-078 Glennallen","9","142","1","27","0"
"36-082 Grayling","11","23","2","16","3"
