"1","Oliver/Maat","Trump/Vance","Blank","Exhausted","Overvote"
"37-709 Chuathbaluk","4","10","0","4","1"
"37-710 Clark's Point","4","8","0","7","0"
"37-712 Cold Bay","0","13","1","6","0"
"37-713 Crooked Creek","3","5","0","11","0"
"37-714 Dillingham","53","279","6","211","1"
"37-716 Egegik","0","10","0","1","0"
"37-718 Ekwok","1","24","0","9","0"
"37-719 Goodnews Bay","18","21","1","15","3"
"37-720 King Cove","3","82","1","21","4"
"37-722 King Salmon","9","82","2","35","0"
"37-724 Koliganek","8","40","0","24","0"
"37-726 Lake Iliamna No. 1","5","75","0","22","1"
"37-728 Lake Iliamna No. 2","9","39","1","27","2"
"37-730 Levelock","3","7","0","13","1"
"37-731 Lower Kalskag","10","36","1","13","1"
"37-732 Manokotak","7","77","0","18","2"
"37-734 Naknek","13","92","1","35","1"
"37-736 New Stuyahok","0","8","1","44","0"
"37-738 Nondalton","9","14","0","12","9"
"37-740 Pedro Bay","2","9","0","3","0"
"37-742 Port Heiden","3","12","0","9","0"
"37-744 Sand Point","5","83","2","33","0"
"37-746 Sleetmute","9","9","0","6","0"
"37-748 South Naknek","2","5","2","8","1"
"37-750 St. George Island","0","3","1","3","0"
"37-752 St. Paul Island","14","28","2","63","0"
"37-754 Togiak","26","87","3","20","13"
"37-756 Tyonek","3","9","0","25","0"
"37-758 Upper Kalskag","9","22","0","21","5"
"38-800 Akiachak","23","72","1","59","6"
"38-802 Akiak","7","39","3","41","0"
"38-806 Atmautluak","2","12","2","27","2"
"38-808 Bethel No. 1","96","268","1","208","8"
"38-810 Bethel No. 2","82","291","3","195","4"
"38-812 Chefornak","17","20","0","59","0"
"38-818 Eek","9","44","1","39","2"
"38-822 Kasigluk","18","17","0","29","1"
"38-824 Kipnuk","12","58","0","37","6"
"38-826 Kongiganak","24","46","3","17","4"
"38-828 Kwethluk","52","44","0","34","3"
"38-830 Kwigillingok","7","52","0","17","5"
"38-836 Mekoryuk","11","34","1","18","5"
"38-838 Napakiak","9","32","2","27","1"
"38-840 Napaskiak","24","25","0","18","1"
"38-842 Newtok","24","20","0","7","5"
"38-844 Nightmute","2","13","2","15","2"
"38-846 Nunapitchuk","17","44","0","36","1"
"38-848 Quinhagak","15","58","1","54","6"
"38-852 Toksook Bay","44","83","3","42","8"
"38-854 Tuluksak","2","1","0","0","0"
"38-856 Tuntutuliak","23","56","0","37","1"
"38-858 Tununak","30","22","0","24","5"
"39-900 Alakanuk","19","38","0","25","5"
"39-902 Brevig Mission","17","42","1","39","3"
"39-906 Diomede","1","5","0","4","0"
"39-908 Elim","14","69","0","20","0"
"39-910 Emmonak","21","54","3","65","5"
"39-912 Gambell","24","71","2","45","4"
"39-914 Golovin","10","23","0","16","0"
"39-916 Hooper Bay","21","72","2","64","8"
"39-918 Kotlik","7","46","0","55","1"
"39-920 Koyuk","11","59","1","26","3"
"39-921 Marshall","12","47","1","24","2"
"39-922 Mountain Village","35","63","1","31","2"
"39-924 Nome No. 1","39","145","2","114","3"
"39-926 Nome No. 2","106","276","0","193","5"
"39-928 Nunam Iqua","10","13","1","13","0"
"39-930 Pilot Station","36","27","0","26","5"
"39-931 Russian Mission","6","23","2","27","1"
"39-932 Savoonga","49","48","1","56","5"
"39-934 Scammon Bay","17","51","0","33","7"
"39-936 Shaktoolik","5","38","2","10","2"
"39-938 Shishmaref","35","48","2","87","3"
