"1","Terry/Broden","West/Abdullah","Blank","Exhausted","Overvote"
"District 32 - Early Voting","118","119","4","848","5"
"District 32  - Question","184","102","4","551","1"
"District 33 - Absentee","141","74","5","1045","2"
"District 33 - Early Voting","201","85","4","1399","4"
"District 33  - Question","60","25","0","216","4"
"District 34 - Absentee","134","139","16","1273","6"
"District 34 - Early Voting","220","224","7","2083","11"
"District 34  - Question","114","44","4","519","2"
"District 35 - Absentee","100","140","5","1171","5"
"District 35 - Early Voting","207","287","8","2157","11"
"District 35  - Question","47","35","1","242","1"
"District 38 - Absentee","76","59","4","392","5"
"District 38 - Early Voting","8","5","0","17","0"
"District 38  - Question","58","36","2","168","6"
"District 4 - Absentee","80","205","8","1372","3"
"District 4 - Early Voting","228","379","15","3223","11"
"District 4  - Question","57","51","5","310","4"
"District 40 - Absentee","46","54","4","343","2"
"District 40 - Early Voting","4","6","1","34","1"
"District 40  - Question","53","36","2","158","3"
"District 5 - Absentee","228","248","28","2624","13"
"District 5 - Early Voting","8","2","0","52","0"
"District 5  - Question","63","32","1","268","3"
"District 6 - Absentee","161","186","21","2020","1"
"District 6 - Early Voting","211","282","14","3560","2"
"District 6  - Question","28","23","1","288","0"
"District 7 - Absentee","124","110","8","1460","5"
"District 7 - Early Voting","260","201","20","3155","9"
"District 7  - Question","46","25","2","223","1"
"District 8 - Absentee","165","142","16","1944","3"
"District 8 - Early Voting","232","153","11","2775","7"
"District 8  - Question","31","12","1","152","1"
"District 9 - Absentee","215","271","31","2779","4"
"District 9 - Early Voting","153","121","8","1877","3"
"District 9  - Question","39","23","1","190","0"
"HD99 Fed Overseas Absentee","27","62","0","312","0"
"House District 30 - Judicial District 3","348","226","28","3761","17"
"House District 30 - Judicial District 4","36","55","1","450","2"
"House District 36 - Judicial District 3","55","61","7","597","1"
"House District 36 - Judicial District 4","270","230","18","2232","15"
"House District 37 - Judicial District 3","145","94","6","983","13"
"House District 37 - Judicial District 4","18","25","1","153","2"
"House District 39 - Judicial District 2","82","120","7","558","9"
"House District 39 - Judicial District 4","24","33","0","71","4"
"Total","32605","28065","1888","276754","1466"
