"1","Begich","Hafner","Blank","Exhausted","Overvote"
"37-728 Lake Iliamna No. 2","20","17","2","36","3"
"37-730 Levelock","7","3","0","14","0"
"37-731 Lower Kalskag","21","21","1","18","0"
"37-732 Manokotak","48","12","3","40","1"
"37-734 Naknek","74","17","3","48","0"
"37-736 New Stuyahok","5","1","1","46","0"
"37-738 Nondalton","17","7","2","17","1"
"37-740 Pedro Bay","8","1","0","5","0"
"37-742 Port Heiden","11","4","0","9","0"
"37-744 Sand Point","88","8","4","23","0"
"37-746 Sleetmute","12","5","0","6","1"
"37-748 South Naknek","6","3","2","7","0"
"37-750 St. George Island","3","1","0","3","0"
"37-752 St. Paul Island","35","14","3","54","1"
"37-754 Togiak","74","26","4","36","9"
"37-756 Tyonek","9","2","0","26","0"
"37-758 Upper Kalskag","17","11","1","24","4"
"38-800 Akiachak","52","30","0","78","1"
"38-802 Akiak","28","12","0","50","0"
"38-806 Atmautluak","11","7","1","25","1"
"38-808 Bethel No. 1","242","123","12","204","0"
"38-810 Bethel No. 2","246","112","4","210","3"
"38-812 Chefornak","17","18","1","60","0"
"38-818 Eek","37","11","1","45","1"
"38-822 Kasigluk","13","25","0","26","1"
"38-824 Kipnuk","41","20","1","48","3"
"38-826 Kongiganak","34","30","2","25","3"
"38-828 Kwethluk","45","49","0","39","0"
"38-830 Kwigillingok","45","6","3","22","5"
"38-836 Mekoryuk","30","14","1","24","0"
"38-838 Napakiak","31","11","0","29","0"
"38-840 Napaskiak","29","20","1","17","1"
"38-842 Newtok","20","22","1","9","4"
"38-844 Nightmute","12","2","2","16","2"
"38-846 Nunapitchuk","40","17","0","41","0"
"38-848 Quinhagak","44","28","0","58","4"
"38-852 Toksook Bay","68","45","6","54","7"
"38-854 Tuluksak","1","1","0","1","0"
"38-856 Tuntutuliak","50","18","0","48","1"
"38-858 Tununak","28","24","0","27","2"
"39-900 Alakanuk","45","19","2","20","1"
"39-902 Brevig Mission","33","21","2","45","1"
"39-906 Diomede","4","2","0","4","0"
"39-908 Elim","48","22","2","31","0"
"39-910 Emmonak","45","17","3","79","4"
"39-912 Gambell","57","18","11","58","2"
"39-914 Golovin","14","9","1","24","1"
"39-916 Hooper Bay","50","18","3","92","4"
"39-918 Kotlik","37","9","1","62","0"
"39-920 Koyuk","38","19","1","40","2"
"39-921 Marshall","36","19","2","29","0"
"39-922 Mountain Village","65","29","0","36","2"
"39-924 Nome No. 1","109","52","7","135","0"
"39-926 Nome No. 2","249","117","7","204","3"
"39-928 Nunam Iqua","14","7","1","15","0"
"39-930 Pilot Station","34","29","1","29","1"
"39-931 Russian Mission","24","5","1","29","0"
"39-932 Savoonga","48","47","4","55","5"
"39-934 Scammon Bay","43","25","1","35","4"
"39-936 Shaktoolik","25","9","1","22","0"
"39-938 Shishmaref","41","37","3","93","1"
"39-940 St. Mary's","33","23","0","61","0"
"39-942 St. Michael","35","9","4","17","0"
"39-944 Stebbins","44","10","0","17","2"
"39-946 Teller","22","7","0","7","0"
"39-948 Unalakleet","91","38","4","87","1"
"39-950 Wales","2","1","0","5","0"
"39-952 White Mountain","22","18","0","29","0"
"40-002 Ambler","22","10","1","11","0"
"40-004 Anaktuvuk Pass","24","7","2","25","0"
"40-006 Atqasuk","16","5","0","14","2"
"40-008 Utqiagvik","103","65","2","79","0"
"40-010 Browerville","228","161","16","238","4"
"40-012 Buckland","36","14","2","30","2"
"40-014 Deering","13","12","0","11","1"
"40-016 Kaktovik","40","6","4","23","0"
"40-018 Kiana","19","1","2","38","0"
"40-020 Kivalina","26","6","2","27","1"
"40-022 Kobuk","5","5","3","25","0"
"40-024 Kotzebue","229","121","13","208","3"
"40-026 Noatak","56","19","1","28","1"
"40-028 Noorvik","50","13","1","32","0"
"40-030 Nuiqsut","11","11","1","20","1"
"40-032 Point Hope","45","7","2","66","0"
"40-034 Point Lay","13","10","1","6","0"
"40-036 Selawik","43","9","3","21","2"
"40-038 Shungnak","21","8","0","20","1"
"40-040 Wainwright","69","14","0","43","3"
"District 1 - Absentee","1564","448","64","932","4"
"District 1 - Early Voting","5","9","0","6","0"
"District 1  - Question","221","64","22","114","0"
"District 10 - Absentee","736","386","19","819","2"
"District 10 - Early Voting","803","275","20","457","2"
"District 10  - Question","113","30","7","66","4"
"District 11 - Absentee","1007","459","25","1051","1"
"District 11 - Early Voting","948","288","9","537","2"
"District 11  - Question","113","32","1","51","1"
"District 12 - Absentee","688","411","38","822","2"
"District 12 - Early Voting","775","310","4","508","3"
"District 12  - Question","123","33","6","52","1"
"District 13 - Absentee","557","378","17","674","2"
"District 13 - Early Voting","722","299","14","356","1"
"District 13  - Question","163","58","9","70","4"
"District 14 - Absentee","491","428","27","885","5"
"District 14 - Early Voting","606","367","34","623","5"
"District 14  - Question","176","87","20","104","5"
"District 15 - Absentee","843","399","22","859","1"
"District 15 - Early Voting","916","313","11","500","3"
"District 15  - Question","137","42","5","57","0"
"District 16 - Absentee","713","489","23","1015","3"
"District 16 - Early Voting","759","392","11","672","3"
"District 16  - Question","133","51","14","66","2"
"District 17 - Absentee","611","518","49","1053","3"
"District 17 - Early Voting","657","505","41","897","5"
"District 17  - Question","136","84","18","105","5"
"District 18 - Absentee","744","285","54","396","1"
"District 18 - Early Voting","233","99","7","168","1"
"District 18  - Question","129","31","38","44","1"
"District 19 - Absentee","310","280","24","503","8"
"District 19 - Early Voting","292","198","10","328","2"
"District 19  - Question","141","50","15","128","4"
"District 2 - Absentee","1897","837","126","1777","15"
"District 2 - Early Voting","25","11","4","36","0"
"District 2  - Question","82","36","13","43","1"
"District 20 - Absentee","622","375","25","755","4"
"District 20 - Early Voting","568","290","12","428","2"
"District 20  - Question","143","69","17","84","3"
"District 21 - Absentee","795","553","38","1066","7"
"District 21 - Early Voting","696","312","18","510","5"
"District 21  - Question","161","79","9","99","6"
"District 22 - Absentee","480","274","20","427","7"
"District 22 - Early Voting","446","193","16","266","2"
"District 22  - Question","134","49","12","64","1"
"District 23 - Absentee","1326","417","67","884","1"
"District 23 - Early Voting","2201","423","28","864","1"
"District 23  - Question","152","35","5","46","1"
"District 24 - Absentee","1089","301","46","586","1"
"District 24 - Early Voting","2186","357","30","685","2"
"District 24  - Question","183","33","10","52","2"
"District 25 - Absentee","838","241","45","450","5"
"District 25 - Early Voting","2168","436","42","779","1"
"District 25  - Question","229","38","14","58","2"
"District 26 - Absentee","847","169","31","317","0"
"District 26 - Early Voting","2044","229","51","373","1"
"District 26  - Question","246","43","16","52","0"
"District 27 - Absentee","801","168","32","282","1"
"District 27 - Early Voting","2045","234","38","419","4"
"District 27  - Question","297","34","17","67","2"
"District 28 - Absentee","835","174","24","335","3"
"District 28 - Early Voting","2198","289","33","523","2"
"District 28  - Question","259","49","18","58","0"
"District 29 - Absentee","1138","285","34","528","1"
"District 29 - Early Voting","2066","251","36","459","0"
"District 29  - Question","211","38","17","63","2"
"District 3 - Absentee","864","567","40","1170","4"
"District 3 - Early Voting","1371","587","38","1561","3"
"District 3  - Question","87","51","11","88","5"
"District 31 - Absentee","490","187","21","378","5"
"District 31 - Early Voting","879","394","28","652","14"
"District 31  - Question","129","50","9","69","3"
"District 32 - Absentee","533","154","30","241","1"
"District 32 - Early Voting","639","196","19","236","4"
"District 32  - Question","154","21","10","57","0"
"District 33 - Absentee","746","187","38","266","4"
"District 33 - Early Voting","1177","198","19","296","3"
"District 33  - Question","138","32","10","32","0"
"District 34 - Absentee","740","257","51","493","2"
"District 34 - Early Voting","1344","459","36","702","4"
"District 34  - Question","201","36","22","59","2"
"District 35 - Absentee","544","289","20","523","1"
