"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","",""
"3","","","Howe","Overvote","Peltola","","Hafner","Overvote","Peltola","","","Hafner","Howe","Overvote","","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Howe","Overvote","","","Hafner","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Hafner","Overvote","","","Hafner","Howe","Overvote","","Begich","Howe","Overvote","","Begich","Hafner","Overvote","","",""
"26-355 Fairview No. 2","190","1","1","0","0","15","16","0","6","0","6","1","10","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","12","1","4","0","2","0","0","0","3","0","1","0","0","0","50","9","5","2","0","13","1","17","0","4","2","7","0","1","10","1"
"26-360 Knik Goose Bay No. 1","640","1","5","0","0","74","46","0","12","0","14","5","9","0","5","0","0","0","2","1","0","0","1","0","0","0","1","0","38","13","4","0","3","1","2","0","7","0","2","4","4","0","120","18","2","9","0","25","3","44","0","13","7","8","0","0","33","0"
"26-365 Knik Goose Bay No. 2","425","2","6","0","0","47","18","0","5","0","8","1","3","0","1","1","2","0","0","0","0","0","1","0","0","0","3","0","31","10","7","0","6","1","1","0","2","0","4","1","2","0","95","3","4","7","0","18","4","19","0","8","3","18","0","0","16","0"
"26-370 Knik Goose Bay No. 3","257","1","4","0","0","25","26","0","2","0","5","2","3","0","3","0","0","0","0","1","0","0","3","0","1","0","0","0","13","9","6","0","2","0","2","0","2","0","2","1","2","0","64","5","1","2","0","10","0","15","0","5","1","16","0","0","19","0"
"26-375 Mat-Su Campus","318","1","5","0","0","34","25","0","6","0","6","1","4","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","11","10","1","0","2","1","2","0","2","0","0","0","1","0","104","7","1","3","0","20","2","20","0","9","5","17","0","0","10","1"
"26-380 Snowshoe","540","2","6","1","1","48","32","0","14","0","7","2","8","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","39","14","8","0","5","0","5","0","2","0","3","4","3","0","104","14","1","10","0","32","5","36","0","2","5","9","0","0","20","0"
"27-405 Foothills","403","4","7","0","1","32","42","0","11","0","4","2","3","0","3","2","0","0","0","1","0","0","0","0","2","0","2","0","15","13","1","0","6","1","1","0","1","0","1","2","2","1","83","2","1","4","0","12","0","21","0","1","6","13","0","0","10","0"
"27-410 Meadow Lakes No. 1","609","4","6","0","1","56","58","1","14","0","4","0","4","0","2","0","0","0","0","1","0","0","0","0","0","0","4","0","42","12","5","0","4","0","2","0","2","0","2","6","1","0","111","6","3","6","0","28","3","33","0","5","2","18","0","0","11","1"
"27-415 Meadow Lakes No. 2","509","2","8","0","0","53","37","2","10","2","11","3","5","0","2","0","0","0","1","0","1","0","0","0","1","1","0","0","27","13","3","0","5","1","6","0","1","0","0","1","4","0","91","9","5","2","0","8","0","20","0","10","4","14","0","2","19","3"
"27-420 Wasilla No. 1","378","0","5","0","3","43","29","0","13","0","7","2","5","0","4","1","0","0","0","1","1","0","1","0","2","0","0","0","20","5","4","0","2","1","2","0","1","0","0","1","3","0","95","5","2","6","0","18","4","30","0","5","7","18","0","0","16","2"
"27-425 Wasilla No. 2","497","1","8","0","2","42","43","0","13","0","12","2","9","0","3","0","1","0","0","0","0","0","2","0","0","1","1","0","35","13","3","0","6","1","0","0","1","0","1","3","2","0","122","6","4","7","0","25","5","22","0","9","5","18","0","0","18","0"
"28-450 Lakes No. 1","306","0","11","0","4","45","18","0","7","0","6","5","1","0","2","0","0","0","0","1","0","0","1","0","0","0","1","0","11","7","2","0","2","0","2","0","3","0","1","2","0","0","73","11","7","3","0","10","1","25","0","8","2","7","0","0","5","0"
"28-455 Lakes No. 2","219","2","2","0","0","14","15","0","2","0","4","3","3","0","1","1","0","0","0","0","0","0","0","0","2","0","1","0","11","3","2","0","2","0","1","0","2","0","2","1","1","0","52","9","1","3","0","10","3","19","0","3","1","6","0","0","5","0"
"28-460 Seldon No. 1","572","3","8","0","2","40","30","1","9","0","12","4","3","0","3","0","0","0","0","0","0","0","0","0","3","0","2","0","28","9","2","0","3","1","1","0","1","0","1","2","2","0","99","10","3","6","0","16","5","25","0","14","3","6","0","0","21","3"
"28-465 Seldon No. 2","431","1","11","0","3","71","33","0","15","0","6","8","8","0","1","0","1","0","0","1","0","0","0","0","1","2","0","0","40","9","2","0","2","1","6","0","3","0","1","2","1","0","140","14","11","4","0","24","6","45","0","6","8","19","0","0","12","1"
"28-470 Seward Meridian","203","2","2","0","0","21","15","0","5","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1","1","0","3","1","0","0","1","0","0","0","1","0","73","9","2","2","0","8","3","13","0","5","3","2","0","0","6","0"
"28-475 Trunk","348","2","5","0","2","49","27","0","14","1","6","4","2","0","2","0","0","0","0","0","1","0","0","0","2","0","1","0","17","11","4","0","5","0","1","0","3","0","1","3","3","0","104","15","3","4","0","29","1","48","0","8","3","12","0","1","16","1"
"28-480 Wasilla Lake","202","4","3","0","2","22","16","0","7","0","4","2","4","0","1","0","1","0","0","0","0","0","1","0","0","0","2","0","17","1","2","0","2","5","3","0","2","0","0","0","1","0","42","3","3","3","0","13","0","18","0","3","2","3","0","0","1","0"
"29-505 Farm Loop","520","7","8","0","1","78","48","0","12","0","8","3","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","27","9","3","0","4","0","0","0","2","0","0","1","1","0","124","12","2","4","0","15","4","23","0","15","6","22","0","0","11","1"
"29-510 Fishhook","712","2","14","0","1","77","43","0","15","0","9","1","6","0","5","1","0","0","0","0","2","0","1","0","1","0","1","0","34","11","5","0","8","1","4","0","0","0","2","2","1","0","228","22","5","5","0","37","7","54","0","19","9","22","0","0","29","2"
"29-515 Kings Lake","464","1","5","1","1","68","37","0","18","0","9","1","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","13","10","2","0","5","0","1","0","2","0","3","2","0","0","114","10","5","3","0","20","7","29","0","8","6","17","0","0","15","0"
"29-520 Lakes No. 3","190","1","5","0","1","14","16","0","3","0","5","1","1","0","2","0","0","0","0","1","0","0","1","0","0","0","1","0","3","8","1","0","3","0","0","0","0","0","3","0","1","0","37","5","1","2","0","10","1","16","0","2","3","9","0","0","6","0"
"29-525 Sheep Mountain","104","0","1","0","0","11","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","1","0","1","1","1","0","1","0","1","0","0","2","0"
"29-530 Sutton","253","1","5","0","1","32","15","0","7","0","2","2","1","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","14","2","1","0","0","0","1","0","0","0","2","0","1","0","87","0","0","5","0","11","3","17","0","3","1","21","0","0","11","1"
"29-535 Valdez No. 1","203","3","3","0","0","17","15","0","5","0","5","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","9","6","2","0","0","1","1","0","0","0","2","2","1","0","110","7","4","3","0","20","6","15","0","7","1","13","0","0","9","0"
"29-540 Valdez No. 2","91","1","1","0","0","5","2","0","4","0","3","1","2","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","4","5","1","0","0","0","0","0","0","0","0","0","0","0","54","3","1","0","0","7","1","16","0","4","2","8","0","0","4","1"
"29-545 Valdez No. 3","155","1","6","0","0","15","10","0","5","0","4","1","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","10","4","2","0","3","0","0","0","0","0","1","1","0","0","89","8","1","3","0","12","4","16","0","5","3","6","0","0","6","0"
"30-550 Anderson/Clear","77","0","2","0","0","7","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","0","0","1","0","0","0","0","0","0","0","0","0","24","1","0","0","0","1","0","4","0","0","0","3","0","0","4","0"
"30-555 Big Lake","655","2","8","0","5","61","51","0","9","1","7","3","9","0","6","0","1","0","1","0","1","0","2","0","0","1","1","0","41","13","8","0","1","0","4","0","7","0","3","7","5","0","142","11","3","6","0","20","1","32","0","7","6","20","0","0","30","3"
"30-560 Cantwell","24","1","0","0","1","4","4","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","1","0","9","1","4","0","3","1","2","0","0","1","0"
"30-565 Denali Park","4","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","29","2","0","0","0","13","0","9","0","2","3","1","0","0","0","0"
"30-570 East Schrock","42","0","2","0","0","9","6","0","3","0","0","1","3","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","1","7","0","1","0","0","0","0","0","0"
"30-575 Healy","157","0","1","0","1","21","16","0","7","0","5","0","5","0","1","0","0","0","0","0","0","0","2","0","2","0","1","0","8","10","3","0","2","0","0","0","0","0","0","1","0","0","68","2","1","5","0","20","2","16","0","6","1","4","0","0","6","0"
"30-580 Houston","275","0","2","0","0","30","15","0","7","0","4","1","6","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","25","10","6","0","3","1","2","0","2","0","0","1","0","0","56","4","2","4","0","12","2","15","0","4","3","12","0","0","15","1"
"30-585 Knik Goose Bay No. 4","598","8","8","0","3","72","45","0","14","0","9","5","8","0","3","0","0","0","0","0","2","0","1","0","2","1","0","0","31","13","5","0","2","2","1","0","2","0","1","3","2","0","130","12","3","9","0","28","3","36","0","5","3","22","0","0","23","0"
"30-590 Trapper Creek","66","0","0","0","0","3","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","5","0","1","0","1","0","0","0","0","0","0","1","0","0","20","1","1","0","0","1","0","3","0","0","1","2","0","1","6","0"
"30-595 Susitna","253","1","1","0","0","25","16","0","7","0","1","0","2","0","4","1","0","0","0","3","0","0","0","0","1","0","0","0","23","7","0","0","0","1","1","0","0","0","0","0","2","0","80","7","0","4","0","18","0","20","0","3","3","3","0","0","10","0"
"30-600 Talkeetna","62","0","3","0","0","6","8","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","7","4","0","0","0","1","0","0","0","0","0","1","1","0","89","6","0","0","0","25","1","25","0","6","2","6","0","0","2","0"
"30-605 Willow","518","2","10","0","1","59","38","0","7","1","8","0","3","0","2","3","0","0","0","0","0","0","0","0","1","0","0","0","40","10","3","0","5","0","3","0","3","0","0","1","0","1","153","6","2","7","0","29","1","26","0","1","0","18","0","0","28","6"
"31-446 Aurora","310","2","4","0","2","26","14","0","12","0","11","0","7","0","3","2","2","0","1","2","1","0","0","0","1","0","2","0","24","9","2","0","3","2","2","0","2","0","3","4","4","0","261","11","9","9","0","38","12","51","0","8","11","15","0","0","10","0"
"31-455 Fairbanks No. 1","277","4","7","0","0","27","15","0","11","0","7","5","9","0","3","0","0","0","0","2","0","0","2","1","1","0","0","0","22","13","1","0","4","1","2","0","0","0","3","6","3","0","300","26","3","5","0","47","4","67","0","13","11","23","0","2","13","1"
"31-480 Fairbanks No. 2","293","1","12","0","1","42","22","0","12","0","10","2","12","0","4","1","0","0","0","0","0","0","1","0","0","0","1","0","17","5","5","0","6","0","0","0","1","0","4","11","4","0","247","12","10","8","0","41","7","58","0","14","8","35","0","1","6","0"
"31-485 Fairbanks No. 3","242","1","3","0","0","37","25","0","10","3","4","4","11","0","4","0","0","0","0","1","0","0","1","0","0","2","0","0","21","8","3","0","5","0","1","0","7","0","4","6","2","0","246","13","5","26","0","33","8","62","0","8","13","31","0","1","22","1"
"32-355 Fairbanks No. 4","292","1","9","0","3","32","24","0","12","0","6","7","3","0","4","1","0","0","1","0","1","0","1","0","2","0","0","0","16","5","3","0","0","0","2","0","4","0","2","2","1","0","175","10","10","7","0","38","8","74","0","10","6","22","0","0","9","1"
"32-365 Fairbanks No. 5","189","0","3","0","0","25","16","0","7","0","8","3","4","0","6","0","0","0","0","0","0","0","1","0","1","0","3","0","12","4","5","0","2","0","1","0","0","0","3","3","2","0","154","10","9","4","0","32","7","43","0","8","2","14","0","0","8","0"
"32-375 Fort Wainwright","139","0","1","0","1","31","24","0","11","0","7","7","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","8","1","4","0","4","0","2","0","2","0","0","3","1","0","43","7","12","4","0","8","6","23","0","2","1","7","0","0","14","1"
"32-385 Badger No. 2","532","3","8","0","0","75","47","0","13","1","10","17","9","0","2","0","0","0","0","1","0","0","0","0","0","2","1","0","39","24","4","0","4","2","10","0","1","0","3","4","2","0","180","18","8","10","0","27","7","51","0","15","5","25","0","0","19","1"
"33-130 Badger No. 1","563","3","18","0","2","86","49","0","13","3","9","7","8","0","5","0","1","0","0","1","2","0","2","0","5","1","3","0","33","12","12","1","1","1","2","0","2","0","6","4","4","0","158","15","9","7","0","20","3","47","0","12","4","32","0","0","16","1"
"33-135 Chena Lakes","628","3","14","0","2","75","66","0","23","0","11","5","11","0","3","1","4","0","0","1","0","0","1","1","2","0","3","0","34","10","8","0","8","0","3","0","2","0","3","1","1","0","126","13","6","8","0","14","4","28","0","13","9","23","0","0","11","0"
"33-155 Moose Creek","75","1","2","0","0","10","3","0","0","0","2","0","1","0","4","0","0","0","0","1","0","0","0","0","0","0","1","0","7","1","1","0","0","0","1","0","0","0","0","0","2","0","16","1","1","1","0","2","1","3","0","1","0","8","0","0","2","0"
"33-165 Newby","660","4","22","0","2","76","55","0","25","0","8","6","10","0","3","1","0","0","0","2","1","0","2","0","3","0","1","0","35","13","4","0","5","2","0","0","4","0","2","5","2","0","145","7","6","8","0","11","7","46","0","10","7","33","0","0","15","1"
"33-175 North Pole","370","2","7","0","1","48","48","0","7","0","8","0","2","0","3","0","0","0","0","1","1","0","2","0","0","0","3","0","23","7","7","0","1","0","2","0","1","0","2","2","2","0","72","12","8","4","0","12","5","34","0","4","4","20","0","0","13","0"
"33-183 Plack","599","2","22","0","2","91","71","1","26","0","7","4","4","0","2","0","0","0","0","0","0","0","0","0","1","0","2","0","22","12","14","0","9","0","4","0","1","0","1","1","2","0","109","16","5","6","0","18","3","31","0","10","7","11","0","0","22","0"
"34-235 Eielson","124","0","5","0","0","20","24","0","13","0","10","2","5","0","2","0","0","0","0","0","0","0","0","0","2","1","3","0","10","5","1","0","1","1","0","0","2","0","1","0","3","0","41","5","0","1","0","7","3","16","0","0","4","8","0","0","12","0"
"34-238 Eielson Farm Road","38","0","0","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","1","0","0","1","2","0","1","0","0","0","0","0","0"
"34-240 Farmers Loop","258","1","3","0","0","37","24","0","10","0","4","2","8","0","2","0","1","0","0","0","1","0","1","0","4","0","2","0","12","5","1","0","4","1","2","0","1","0","2","0","0","0","300","14","3","7","0","66","9","72","0","17","5","20","0","0","12","0"
"34-260 Salcha","301","2","3","0","1","35","25","0","4","0","1","2","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","14","8","0","0","2","1","2","0","2","0","0","1","1","0","66","5","2","1","0","9","0","12","0","4","2","9","0","0","11","1"
"34-263 Steele Creek","433","3","6","0","0","53","42","0","16","1","7","1","8","1","2","0","1","0","0","0","0","0","1","0","1","0","1","0","23","18","5","0","2","1","1","0","3","0","1","2","3","0","219","21","3","11","0","37","10","48","0","17","9","27","0","0","8","3"
"34-265 Steese","387","0","5","0","0","59","32","0","12","0","9","2","9","0","5","0","0","0","0","1","0","0","1","0","1","0","2","0","33","11","2","0","4","2","1","0","1","0","1","5","2","0","217","20","6","9","0","44","3","58","0","16","12","32","0","0","22","1"
"34-270 Summit","320","2","5","0","2","52","33","0","11","1","10","2","9","0","2","0","0","0","0","0","0","0","2","0","0","0","1","0","23","17","3","0","1","1","1","0","4","0","5","4","4","0","194","18","5","5","0","35","6","41","0","12","6","27","0","0","15","1"
"34-280 Two Rivers","216","0","1","0","0","35","16","0","6","0","7","0","5","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","7","12","0","0","1","0","2","0","2","0","1","6","1","0","113","5","1","2","0","11","0","22","0","6","2","7","0","0","13","0"
"35-580 Airport","134","1","3","0","1","13","11","0","4","0","3","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","8","2","1","0","1","0","1","0","0","0","0","1","2","0","81","5","1","2","0","8","0","15","0","3","4","17","0","0","6","1"
"35-582 Chena","484","2","9","0","0","67","44","1","11","0","17","5","5","0","3","0","0","0","0","0","0","0","2","0","1","0","3","0","15","13","5","0","3","0","2","0","2","0","5","5","2","0","388","32","7","16","0","92","11","87","0","25","19","28","0","0","19","2"
"35-584 Ester","147","1","2","0","0","19","12","0","2","0","2","1","2","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","10","2","2","0","0","0","3","0","1","0","2","4","2","0","168","9","3","2","0","60","6","57","0","17","5","15","0","0","6","0"
"35-586 Geist","195","0","4","0","0","21","12","0","2","0","5","1","6","0","2","0","1","0","0","1","0","0","2","0","2","0","2","0","11","4","5","0","3","0","1","0","1","0","1","2","3","0","150","8","8","5","0","42","5","34","0","10","5","21","0","0","5","0"
"35-587 Lakeview","53","0","0","0","0","6","4","0","4","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","11","1","1","0","0","0","0","0","0","0","0","0","0","0","24","0","1","2","0","3","2","1","0","1","0","3","0","0","2","0"
"35-592 Shanly","108","1","4","0","1","19","12","0","12","0","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","0","3","1","1","0","0","0","0","2","0","0","134","2","4","8","0","27","2","34","0","16","6","10","0","0","7","1"
"35-595 University Hills","145","0","2","0","0","31","11","0","5","0","8","2","3","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","6","5","3","0","1","0","1","0","4","0","0","1","1","0","185","8","2","12","0","61","4","63","0","17","5","22","0","0","7","0"
"35-596 University West","390","0","6","1","1","56","32","0","19","0","21","2","12","0","3","0","1","0","0","1","0","0","2","0","0","0","0","0","23","7","8","0","10","0","1","0","0","0","2","1","4","0","350","27","9","24","0","71","12","113","0","18","21","37","0","0","6","0"
"36-001 Goldstream No. 1","190","0","0","0","0","43","21","0","5","0","6","0","3","0","2","0","0","0","0","0","0","0","2","0","0","0","1","0","4","11","1","0","1","2","1","0","2","0","2","2","2","0","184","6","7","4","0","50","3","53","0","12","5","17","0","0","8","1"
"36-002 Goldstream No. 2","162","2","4","0","3","38","14","0","4","0","7","3","2","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","15","3","3","0","3","2","0","0","1","0","2","1","1","0","259","7","6","5","0","90","6","74","0","19","4","23","0","0","10","1"
"36-010 Allakaket","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","5","2","0","4","0","2","0","0","0","3","0","0","0","0"
"36-014 Anvik","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12","0","1","2","0","0","1","3","0","0","1","1","0","0","0","0"
"36-018 Arctic Village","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","1","0","0","0","1","1","3","0","0","0","1","0","0","0","0"
"36-022 Beaver","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","3","0","0","0","1","1","0","0","0","0","0","0","0","1"
"36-026 Bettles","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0"
"36-034 Central","25","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"36-038 Chistochina","34","0","0","0","0","1","0","0","2","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","1","0","0","0","20","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0"
"36-042 Circle","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1","1","0","0","0","0","3","0","0","0","1","0","0","1","0"
"36-046 Copper Center","157","2","5","0","0","22","13","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","4","4","0","0","0","1","0","0","0","0","0","0","0","66","9","3","3","0","8","2","15","0","4","4","11","0","1","3","0"
"36-050 Delta Junction","203","0","6","0","0","26","17","1","5","0","7","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","4","1","0","5","0","1","0","1","0","0","1","0","0","22","5","1","2","0","3","1","7","0","2","1","7","0","0","10","2"
"36-054 Deltana","743","5","9","0","2","110","40","0","10","0","3","7","5","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","42","15","3","0","2","1","3","0","2","0","2","0","0","0","91","15","4","5","0","19","2","18","0","5","4","7","0","1","19","0"
"36-058 Dot Lake","37","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0"
"36-062 Eagle","38","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","17","1","0","0","0","2","0","1","0","0","2","1","0","0","2","0"
"36-066 Fort Yukon","13","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","108","0","3","0","0","0","0","2","0","0","0","3","0","1","3","1"
"36-070 Gakona","56","0","1","0","0","2","1","0","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","2","0","0","0","0","0","0","0","23","0","0","1","0","3","1","2","0","1","0","3","0","0","5","0"
"36-074 Galena","27","1","0","0","0","4","2","0","2","0","2","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","1","0","1","0","0","0","0","0","0","0","58","6","3","1","0","8","0","6","0","2","3","6","0","0","3","0"
"36-078 Glennallen","77","0","4","0","0","20","12","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","10","0","3","0","0","0","1","0","1","0","0","0","1","0","23","3","1","0","0","6","1","6","0","0","2","0","0","0","5","0"
"36-082 Grayling","5","1","1","0","0","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","21","0","4","1","0","1","4","1","0","1","0","3","0","0","0","1"
"36-086 Holy Cross","3","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","18","0","6","3","1","0","0","1","0","1","2","2","0","0","0","0"
"36-090 Hughes","4","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"36-094 Huslia","11","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","47","6","4","2","0","2","0","5","0","1","1","2","0","0","6","1"
"36-098 Kaltag","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","3","1","0","0","1","3","0","0","1","1","0","0","2","0"
"36-102 Kenny Lake","85","0","2","0","0","13","5","0","3","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","2","0","1","0","1","0","0","0","3","0","40","0","1","0","0","6","0","5","0","1","0","2","0","0","3","0"
"36-106 Koyukuk","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","15","0","2","1","0","0","1","2","0","0","1","1","0","0","1","0"
"36-110 Manley","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","8","0","0","1","0","3","0","0","0","0","0","0","0","0","1","0"
"36-114 McGrath","43","0","1","0","0","6","4","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","22","1","0","1","0","1","0","2","0","0","0","2","0","0","5","0"
"36-118 Mentasta","8","0","0","0","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","1","0","0","0","1","0","0","0","0","0","4","0","0","0","0"
"36-122 Minto","11","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","18","0","2","1","0","2","1","2","0","0","3","2","0","0","2","0"
"36-126 Nenana","127","0","4","0","0","23","10","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","3","0","0","0","0","3","0","1","0","1","0","1","0","73","3","6","5","0","8","4","10","0","5","0","12","0","0","2","1"
"36-130 Nikolai","4","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","1","0","0","1","0","1","0","0","1","0","0","0","3","0"
"36-134 Northway","22","0","3","0","0","1","3","0","0","0","1","2","2","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","19","1","5","1","0","0","2","2","0","1","0","1","0","0","1","0"
"36-138 Nulato","8","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","2","2","0","0","0","2","3","0","1","0","0","0","1","3","0"
