"1","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"2","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","Begich","Howe","Overvote","","",""
"22-750 Northeast Anchorage No. 1","230","69","0","32","17","9","0","19","260","47","117","2","14","8","2"
"22-755 Northeast Anchorage No. 2","248","66","0","29","13","6","0","16","195","48","117","1","13","8","6"
"22-760 Northeast Anchorage No. 3","275","60","0","25","16","8","0","14","312","38","120","0","14","8","3"
"22-765 Northeast Anchorage No. 4","181","50","0","13","13","10","0","9","161","28","87","0","11","5","6"
"23-805 Chugach Park No. 1","404","114","0","30","12","20","0","12","289","57","112","0","16","0","0"
"23-810 Eagle River No. 1","246","63","0","21","14","11","0","9","172","21","66","0","5","3","1"
"23-815 Eagle River No. 2","248","70","0","28","13","13","1","6","175","37","82","0","6","2","0"
"23-820 Hiland","264","74","0","21","13","13","0","7","148","31","58","0","9","0","0"
"23-825 Meadow Creek No. 1","265","77","0","21","7","22","0","9","197","38","78","1","5","3","0"
"23-830 Meadow Creek No. 2","186","36","0","12","7","10","0","5","95","20","44","0","7","1","0"
"24-850 Chugach Park No. 2","342","46","0","30","5","7","0","3","158","34","46","0","6","0","2"
"24-855 Chugiak","165","44","0","11","9","5","0","7","84","10","29","0","4","0","0"
"24-860 Eagle River No. 3","258","62","0","25","16","14","0","9","137","32","53","0","6","1","1"
"24-865 Eklutna","283","69","0","19","13","11","0","3","148","26","60","0","9","1","0"
"24-870 Fire Lake","324","78","0","19","8","15","1","5","168","38","60","0","7","0","2"
"24-875 Peters Creek No. 1","490","98","0","32","27","20","0","5","183","37","75","1","12","2","1"
"24-880 Peters Creek No. 2","243","67","0","14","12","7","0","5","115","17","41","0","5","0","0"
"25-305 Butte","619","143","1","19","31","33","0","8","206","35","86","0","24","2","1"
"25-310 Greater Palmer","260","58","0","10","15","12","0","1","99","24","53","0","8","2","0"
"25-315 Lazy Mountain","393","88","0","14","18","13","0","8","160","26","60","0","5","2","1"
"25-320 Palmer City No. 1","240","48","0","7","16","12","0","6","133","13","56","0","13","7","0"
"25-325 Palmer City No. 2","214","67","0","13","19","12","0","12","122","18","70","0","10","3","2"
"25-330 Springer Loop","377","98","0","17","19","16","0","6","124","20","56","0","13","3","2"
"25-335 Walby","341","104","0","22","7","10","0","2","101","18","48","0","15","1","1"
"26-350 Fairview No. 1","275","62","0","14","16","8","0","10","56","14","30","0","11","1","1"
"26-355 Fairview No. 2","191","38","0","17","13","7","0","4","64","17","31","1","10","0","1"
"26-360 Knik Goose Bay No. 1","641","137","0","30","40","22","0","18","145","32","73","0","33","5","0"
"26-365 Knik Goose Bay No. 2","428","78","0","12","32","24","0","10","113","18","51","0","16","1","0"
"26-370 Knik Goose Bay No. 3","258","57","0","10","14","19","0","10","75","8","37","0","19","3","0"
