"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Overvote"
"10-155 Oceanview No. 1","211","11","0","8","4","0","154","16","0","47","16","13","0","13","49","2","0","6","6","0","3","2","0","13","100","24","0","31","10","6","1","0","5","1","1","0","4","0","1","2","1","0","33","14","6","0","10","52","18","0","20","0","2","2","2","0","6","1"
"10-160 Oceanview No. 2","143","3","0","4","4","0","108","15","0","34","17","9","0","11","31","8","0","2","1","1","4","1","0","2","79","14","0","17","4","15","3","0","7","1","0","0","0","0","2","1","1","0","23","9","6","0","5","60","15","0","20","0","2","2","4","0","13","2"
"10-165 Oceanview No. 3","202","6","0","9","5","0","159","17","0","43","19","10","0","6","58","10","0","2","6","0","2","5","0","6","87","20","0","36","10","13","0","0","5","1","1","0","2","0","0","3","1","0","32","7","5","0","7","56","19","0","19","0","0","2","5","0","10","1"
"10-170 Oceanview No. 4","174","5","0","9","8","0","139","15","0","44","20","10","0","13","35","3","0","1","1","0","2","3","0","2","94","10","0","28","9","13","0","0","2","0","0","0","1","0","1","0","0","0","27","11","3","0","6","70","14","0","13","0","3","5","3","0","4","0"
"10-175 Oceanview No. 5","160","3","0","10","4","0","106","10","0","19","9","4","0","11","30","7","0","2","7","0","2","1","0","5","70","10","0","25","8","10","0","0","4","0","0","0","1","0","1","1","0","0","16","2","5","0","4","43","9","0","8","0","1","2","3","0","6","1"
"11-205 Hillside No. 1","116","6","0","13","2","0","75","15","0","30","3","5","0","6","29","0","0","4","5","0","0","1","0","2","44","17","0","21","8","12","1","0","1","0","0","0","0","0","1","0","0","0","16","10","6","0","7","17","8","0","10","0","0","4","3","0","2","0"
"11-210 Hillside No. 2","202","3","0","15","12","0","193","24","0","57","14","12","0","24","51","14","0","1","10","0","1","2","0","7","105","28","1","43","7","16","4","0","6","1","0","0","1","0","3","7","1","0","29","12","10","0","7","48","27","0","20","0","2","4","1","0","8","0"
"11-215 Hillside No. 3","149","5","0","8","2","0","116","21","1","35","13","5","0","13","22","0","0","0","3","0","0","0","0","1","50","8","0","21","7","12","0","0","5","0","2","0","0","0","2","1","1","0","22","6","11","1","1","36","11","0","12","0","1","4","4","0","2","1"
"11-220 Hillside No. 4","157","4","0","6","3","0","151","10","0","47","9","6","0","11","34","1","0","4","4","0","0","0","0","5","38","9","0","18","3","13","0","0","4","0","0","0","0","0","0","2","2","0","29","8","5","0","1","50","7","0","7","0","3","2","3","0","3","0"
"11-225 Hillside No. 5","159","4","0","4","5","0","123","6","0","32","18","4","0","9","35","3","0","2","3","0","1","1","0","1","82","11","0","11","4","10","0","0","1","2","0","0","0","0","1","1","0","0","25","14","10","0","4","66","13","0","10","0","1","6","2","0","10","0"
"11-230 Hillside No. 6","156","4","0","2","3","0","184","14","0","38","24","6","0","14","23","4","0","0","3","1","0","1","0","1","97","21","0","40","5","23","3","0","6","0","0","0","0","0","0","3","1","0","25","13","8","0","8","76","22","0","14","0","0","3","5","0","5","0"
"11-235 Hillside No. 7","137","5","0","0","3","0","102","6","0","27","11","3","0","9","11","0","0","1","2","0","0","0","0","3","82","13","0","14","5","17","0","0","1","0","0","0","1","0","0","0","0","0","25","7","8","0","1","60","13","0","17","0","2","2","2","0","3","0"
"12-250 Southeast Anchorage No. 1","166","9","0","8","10","0","121","25","0","21","12","12","0","11","54","2","0","4","8","0","1","3","0","5","70","21","0","33","2","13","1","0","6","0","1","0","0","0","0","0","0","0","21","2","4","0","3","43","12","0","16","0","3","4","5","0","3","0"
"12-255 Southeast Anchorage No. 2","116","3","0","4","1","0","84","15","0","21","13","12","0","9","23","1","0","2","6","0","0","1","0","1","59","17","0","8","1","6","0","0","3","0","1","0","0","0","0","1","0","0","19","9","7","0","3","21","9","0","8","0","0","4","1","0","3","2"
"12-260 Southeast Anchorage No. 3","158","8","0","12","10","0","101","21","0","25","8","14","0","6","50","5","0","4","7","0","4","1","0","3","61","22","0","19","2","8","2","1","1","1","1","0","1","0","0","1","0","0","23","2","6","0","5","37","11","0","23","0","0","4","0","0","7","0"
"12-265 Southeast Anchorage No. 4","151","8","0","13","5","0","110","17","0","23","13","4","0","7","38","4","0","1","12","1","3","2","0","3","84","25","0","23","11","6","1","0","4","1","2","0","0","0","0","0","1","0","26","8","11","0","1","47","17","0","24","0","1","2","1","0","4","0"
"12-270 Southeast Anchorage No. 5","207","6","0","12","6","1","136","24","0","29","17","18","0","12","51","3","0","5","3","0","1","5","0","2","101","25","0","28","5","11","2","0","5","0","3","0","3","0","2","2","1","0","27","9","11","0","6","58","26","0","19","0","0","1","2","0","4","0"
"12-275 Southeast Anchorage No. 6","152","5","0","6","5","1","114","17","0","29","21","6","0","14","42","4","0","3","5","0","0","0","0","2","118","24","0","34","4","8","0","0","1","1","0","0","1","0","3","0","0","0","25","10","17","0","10","88","18","0","26","0","0","2","2","0","6","0"
"13-305 South Midtown No. 1","36","0","0","3","0","0","38","5","0","6","6","1","0","4","13","2","0","1","1","0","0","4","0","1","19","6","0","9","0","3","0","0","2","0","0","0","0","0","0","0","0","0","10","2","2","0","1","7","1","0","5","0","0","0","0","0","0","0"
"13-310 South Midtown No. 2","227","7","0","22","11","0","133","40","0","39","15","10","0","15","68","4","0","8","7","0","3","3","0","6","96","19","0","36","7","13","4","0","0","0","3","0","1","0","0","0","2","0","33","6","6","0","6","38","19","0","17","0","2","1","6","0","4","1"
"13-315 South Midtown No. 3","216","8","0","19","18","0","147","24","0","49","15","11","0","14","59","7","0","8","11","0","4","4","1","3","111","19","0","38","5","21","1","0","2","0","1","0","2","0","1","3","0","0","29","5","10","0","5","62","11","0","20","0","5","3","3","0","9","1"
"13-320 South Midtown No. 4","176","6","0","23","8","0","114","17","0","32","8","15","0","8","59","7","0","11","9","0","1","4","0","11","73","24","0","38","4","9","0","1","2","1","0","0","1","0","1","1","0","0","24","5","5","0","3","40","15","0","18","0","2","3","5","0","7","0"
"13-325 South Midtown No. 5","168","7","0","14","12","0","100","14","0","27","11","12","0","5","68","9","0","6","4","0","2","2","0","7","109","31","0","36","5","13","0","0","2","0","4","0","0","0","1","1","0","0","37","6","5","0","3","64","16","0","28","0","0","1","5","0","4","0"
"14-350 North Midtown No. 1","50","2","0","4","2","0","28","1","0","10","4","3","0","3","32","1","0","1","5","0","1","2","0","2","41","9","0","11","4","6","0","0","2","0","0","0","0","0","0","0","0","0","10","5","1","0","2","30","6","0","13","0","0","0","0","0","2","0"
"14-355 North Midtown No. 2","54","3","0","1","1","0","42","7","0","15","7","4","0","2","35","3","0","1","2","0","0","1","0","4","49","10","0","16","6","5","0","0","2","0","0","0","2","0","1","2","0","0","17","0","4","0","4","34","9","0","14","0","0","1","3","0","4","0"
"14-360 North Midtown No. 3","61","2","0","5","1","0","31","9","0","14","9","4","0","3","28","3","0","5","3","1","1","1","0","3","29","6","0","22","4","4","1","0","2","1","0","0","1","0","0","1","0","0","6","3","3","0","0","14","3","0","6","0","0","1","0","0","1","0"
"14-365 North Midtown No. 4","64","1","0","4","4","0","25","10","0","11","2","8","0","18","48","7","0","3","5","0","0","2","0","4","41","11","0","39","5","3","0","0","4","1","0","0","0","0","0","0","1","0","10","2","3","0","3","17","4","0","16","0","0","0","1","0","6","0"
"14-370 North Midtown No. 5","146","4","0","6","3","1","94","10","0","21","9","14","0","12","56","5","0","5","6","0","4","2","0","6","90","22","0","40","8","11","1","0","2","0","2","0","1","0","0","1","1","0","27","7","4","0","5","47","12","0","19","0","1","2","2","0","17","2"
"14-375 North Midtown No. 6","74","3","0","5","6","0","51","9","0","15","7","8","1","10","40","5","0","1","1","0","0","1","0","2","60","11","0","33","4","11","0","0","2","0","0","0","1","0","0","0","1","0","21","0","8","0","3","32","9","0","14","0","1","2","1","0","7","0"
"14-380 North Midtown No. 7","141","3","0","3","6","0","78","15","0","21","12","5","0","9","57","3","0","4","5","0","0","1","0","4","182","23","0","40","6","8","2","0","2","0","1","0","1","0","2","1","0","0","29","11","9","0","10","137","28","0","31","0","1","2","3","0","4","0"
"15-405 Southwest Anchorage No. 1","124","4","0","3","3","0","124","14","0","24","6","6","0","9","21","1","0","0","9","0","1","1","0","2","63","11","0","21","4","13","0","0","3","1","0","0","0","0","2","1","0","0","19","11","5","0","5","43","19","0","14","0","0","1","2","0","6","0"
"15-410 Southwest Anchorage No. 2","162","9","0","5","6","0","140","10","1","44","11","9","0","11","33","6","0","5","5","0","1","0","0","2","49","21","0","15","5","6","1","0","2","0","1","0","3","0","1","0","1","0","29","6","4","0","7","59","21","0","21","0","0","5","2","0","7","0"
"15-415 Southwest Anchorage No. 3","188","12","0","12","7","2","175","23","1","39","9","11","0","22","54","5","0","5","10","0","3","3","0","2","84","18","0","23","8","9","3","0","3","1","0","0","0","0","0","1","2","0","36","9","12","0","4","59","21","0","18","0","3","3","4","0","7","0"
"15-420 Southwest Anchorage No. 4","126","6","0","6","11","0","101","23","0","32","5","5","0","9","51","5","0","5","8","0","3","4","0","3","59","23","0","30","13","9","1","0","4","1","0","0","1","0","1","0","0","0","20","3","4","0","7","34","11","0","20","0","1","4","1","0","5","0"
"15-425 Southwest Anchorage No. 5","130","8","0","7","4","0","122","15","0","40","14","8","0","10","50","4","0","1","12","0","2","1","0","3","102","10","0","34","3","16","1","0","5","0","1","0","0","0","0","2","1","0","39","14","10","0","3","51","17","0","11","0","2","3","5","0","9","0"
"15-430 Southwest Anchorage No. 6","240","8","0","4","6","0","195","28","0","55","20","12","0","22","59","5","0","4","11","0","1","2","0","1","112","29","0","31","17","24","2","0","6","0","0","0","1","0","2","3","0","0","39","19","15","0","4","92","20","0","38","0","5","3","2","0","7","1"
"16-450 West Anchorage No. 1","70","2","0","1","4","0","56","4","0","14","21","11","0","11","25","3","0","1","3","0","0","0","0","1","131","15","0","29","1","6","0","0","2","0","0","0","0","0","0","1","0","0","41","8","7","0","6","128","18","0","31","0","1","0","3","0","1","0"
"16-455 West Anchorage No. 2","115","4","0","5","4","0","72","18","0","22","13","6","0","12","53","8","0","6","5","0","0","5","0","1","86","28","1","35","3","3","2","0","1","0","0","0","0","0","1","1","0","0","32","6","13","0","4","73","15","0","23","0","3","0","4","0","4","0"
"16-460 West Anchorage No. 3","161","8","1","11","10","0","115","16","0","37","15","22","0","11","51","15","0","5","11","0","2","2","0","2","157","28","0","40","9","8","2","0","4","1","1","0","0","0","0","1","1","0","27","19","11","0","9","88","32","0","30","1","0","0","2","0","5","0"
"16-465 West Anchorage No. 4","108","2","0","8","2","0","67","23","1","15","9","10","0","9","25","2","0","1","3","0","3","1","0","3","57","11","0","21","1","4","1","0","1","0","0","0","0","0","1","0","1","0","16","5","7","0","3","34","9","0","15","0","0","0","2","0","3","1"
"16-470 West Anchorage No. 5","194","8","0","9","5","0","126","25","0","34","15","4","0","8","48","3","0","0","3","0","0","4","0","4","109","16","0","14","5","16","5","0","4","0","2","0","1","0","1","0","0","0","34","12","12","0","4","87","20","0","18","0","2","2","3","0","6","1"
"16-475 West Anchorage No. 6","164","5","0","5","4","0","124","18","0","24","13","5","1","5","36","5","0","4","3","0","2","1","0","2","86","16","0","45","2","5","4","0","5","0","1","0","0","0","1","1","0","0","19","8","7","0","2","56","17","0","25","0","3","1","1","0","4","1"
"16-480 West Anchorage No. 7","95","6","0","8","5","0","66","17","0","20","10","5","0","8","44","5","0","5","4","0","5","2","0","3","66","17","0","25","4","6","3","1","2","1","1","0","1","0","0","0","0","0","19","7","4","0","2","28","16","0","15","0","0","3","2","0","6","0"
"17-505 Downtown Anchorage No. 1","53","2","0","0","2","0","35","3","0","14","6","2","0","5","31","2","0","2","0","0","0","2","0","2","77","12","0","25","2","2","1","0","1","0","0","0","0","0","0","0","1","0","14","4","5","0","2","45","9","0","7","0","0","0","1","0","3","0"
"17-510 Downtown Anchorage No. 2","60","4","0","4","0","0","41","2","0","12","11","6","0","4","41","2","0","3","4","0","2","2","0","1","110","16","0","28","1","3","0","0","0","0","1","0","0","0","1","0","0","0","21","7","8","0","2","97","18","0","17","0","0","2","0","0","5","2"
"17-515 Downtown Anchorage No. 3","40","3","0","1","3","0","39","9","0","8","12","3","0","4","8","1","0","1","1","0","0","0","0","2","77","18","0","17","0","3","0","0","1","0","0","0","0","1","0","0","0","0","14","9","7","0","1","56","6","0","11","1","1","1","1","0","3","0"
"17-520 Downtown Anchorage No. 4","81","11","0","12","2","0","57","7","0","19","10","7","0","5","65","4","0","7","6","0","1","4","0","8","120","14","0","33","1","5","1","0","2","0","0","0","1","0","0","1","1","0","20","3","4","0","2","69","9","0","13","0","1","1","3","0","4","1"
"17-525 Downtown Anchorage No. 5","63","4","0","3","4","0","39","5","0","9","3","3","0","6","41","3","0","2","6","0","1","1","0","1","81","16","0","25","2","5","1","0","2","0","1","0","0","0","0","1","1","0","13","6","6","0","1","37","10","0","9","0","0","3","2","0","7","0"
"17-530 Downtown Anchorage No. 6","43","6","0","6","2","0","21","4","0","7","5","2","0","0","47","4","0","3","4","0","0","2","0","3","47","3","0","21","2","4","0","0","0","0","0","0","0","0","0","1","0","0","14","1","4","0","2","23","5","0","6","0","0","0","0","0","5","0"
"17-535 Downtown Anchorage No. 7","60","4","0","7","6","0","24","7","0","22","2","3","0","3","54","5","0","4","3","0","0","2","0","2","63","11","1","26","2","6","0","0","1","0","1","0","1","0","0","0","2","0","10","2","3","0","1","23","6","0","13","0","1","2","2","0","11","0"
"18-550 Government Hill","56","3","0","2","1","0","29","6","0","11","3","3","0","3","33","5","0","3","2","0","3","2","0","4","51","7","0","21","2","6","0","0","0","0","1","0","0","0","1","0","0","0","15","3","0","1","2","36","6","0","12","0","1","2","1","0","6","0"
"18-555 JBER","87","2","0","4","5","2","88","13","1","40","4","6","0","10","36","3","0","1","0","1","1","0","0","9","43","22","0","19","7","20","1","0","4","2","0","0","1","0","2","2","3","0","6","5","1","0","3","7","4","0","10","0","1","1","2","0","4","0"
"18-560 North Muldoon","56","3","0","6","3","0","28","13","0","12","1","4","0","2","42","4","0","3","2","0","1","1","0","11","26","10","0","11","2","6","0","0","3","0","0","0","2","0","0","0","0","0","6","0","1","0","3","10","4","0","10","0","1","3","2","0","4","0"
"18-565 Ship Creek","14","0","0","0","0","0","12","2","0","1","1","3","0","0","10","0","0","0","1","0","0","0","0","1","15","4","0","5","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","6","2","0","3","0","1","0","1","0","0","0"
"19-605 Airport Heights No. 1","106","8","0","2","2","0","55","6","0","22","5","12","0","9","71","6","0","3","5","0","2","2","0","3","154","29","0","31","5","2","1","0","2","1","1","0","2","0","1","1","1","0","29","4","4","0","4","92","25","0","17","0","1","1","1","0","3","2"
"19-610 Airport Heights No. 2","98","10","0","9","7","0","69","23","0","28","5","9","0","9","45","3","0","8","12","0","1","1","0","5","66","22","0","32","7","12","3","0","4","1","3","0","0","0","0","4","1","0","32","4","4","0","5","40","3","0","14","0","0","2","3","0","11","1"
"19-615 Mountainview No. 1","45","7","0","4","0","0","19","12","0","6","4","7","0","6","48","4","0","3","3","0","1","2","0","5","36","9","0","11","6","6","1","0","2","1","3","0","1","0","0","1","0","0","17","2","4","0","5","7","6","0","4","0","0","2","0","0","4","0"
"19-620 Mountainview No. 2","54","0","0","3","6","0","29","5","0","13","3","5","0","6","29","4","0","1","6","0","2","1","0","2","12","7","0","9","0","4","0","0","1","0","0","0","0","0","2","2","2","0","10","0","4","0","0","9","2","0","6","0","0","1","1","0","6","0"
"19-625 South Mountainview","70","6","0","6","8","0","52","11","0","21","7","5","0","6","28","1","0","3","1","0","0","3","0","3","35","11","0","21","3","6","2","0","2","0","0","0","0","0","0","1","1","0","14","2","4","0","3","10","6","0","10","0","0","0","2","1","4","0"
"20-650 University No. 1","33","7","0","1","2","1","23","7","0","9","2","4","0","1","26","3","0","2","0","0","0","1","0","0","23","12","0","8","6","3","0","0","1","0","1","0","0","0","0","0","0","0","2","3","3","0","0","17","6","0","3","1","2","0","1","0","1","0"
"20-655 University No. 2","151","4","0","16","4","0","73","15","0","15","9","19","0","12","48","3","0","8","14","0","1","5","0","2","76","35","0","29","8","9","0","0","6","1","1","0","2","0","0","0","1","0","24","8","14","0","3","46","13","0","18","0","0","2","1","0","5","1"
"20-660 University No. 3","124","5","0","16","10","0","109","14","0","27","11","4","0","7","47","4","0","4","6","1","6","4","0","6","120","24","0","46","3","8","0","0","3","0","0","0","1","0","4","1","0","0","27","5","12","0","8","61","30","0","33","0","0","1","5","0","6","1"
"20-665 University No. 4","51","1","0","2","5","0","37","10","0","18","7","6","0","3","29","0","0","2","1","0","2","0","0","0","58","19","0","30","4","4","0","0","1","0","1","0","1","0","0","0","0","0","12","1","6","0","4","27","11","0","10","0","0","1","0","0","1","0"
"20-670 University No. 5","228","11","0","17","11","1","197","37","0","49","26","17","0","12","94","14","0","4","18","1","4","5","0","6","141","45","1","52","9","17","1","0","4","1","1","0","2","0","1","2","0","0","37","7","13","0","8","78","22","0","28","0","0","1","4","0","5","1"
"21-705 East Anchorage No. 1","145","5","0","13","2","0","103","16","0","16","7","7","0","8","60","3","0","8","4","1","1","4","0","7","122","18","0","31","12","10","1","0","2","1","0","0","0","0","0","1","0","0","29","5","3","0","1","56","10","0","25","0","0","2","2","0","5","3"
"21-710 East Anchorage No. 2","188","7","0","14","5","0","142","27","0","22","11","11","0","4","50","4","0","8","6","0","1","3","0","4","71","25","0","33","3","21","2","0","8","1","1","0","0","0","0","0","1","0","15","8","9","0","5","32","15","0","13","0","2","4","4","0","5","1"
"21-715 East Anchorage No. 3","230","13","0","26","9","2","135","43","0","44","12","14","0","15","77","3","0","6","10","0","9","7","0","9","95","33","0","46","8","23","5","1","3","1","2","0","1","0","1","2","0","0","21","4","8","0","3","37","18","1","15","0","2","5","7","0","9","3"
"21-720 East Anchorage No. 4","170","3","0","11","10","0","131","21","0","34","14","1","0","6","64","5","0","3","11","0","4","1","0","5","115","25","0","30","2","6","3","0","5","0","2","0","0","0","1","0","2","0","23","4","8","0","2","64","17","0","27","1","1","2","5","0","2","0"
"21-725 East Anchorage No. 5","236","13","0","17","6","1","181","29","0","38","19","9","0","16","74","12","0","8","9","0","1","9","0","5","142","24","0","52","7","11","6","0","4","0","2","0","0","0","2","2","3","0","42","12","10","0","6","80","24","0","23","0","3","1","5","0","4","3"
"22-750 Northeast Anchorage No. 1","152","9","0","17","8","0","87","17","0","22","6","8","0","14","70","8","0","7","11","1","3","3","0","10","70","13","0","43","16","9","1","0","1","1","1","0","2","0","0","2","0","0","19","2","10","0","4","27","9","0","13","1","0","1","0","0","6","0"
"22-755 Northeast Anchorage No. 2","130","10","0","14","7","0","105","17","0","36","10","4","0","9","52","7","0","4","5","0","4","1","0","11","66","16","0","36","8","12","1","0","4","0","1","0","2","0","0","1","2","0","19","5","6","0","5","23","5","0","4","0","0","0","3","0","4","0"
"22-760 Northeast Anchorage No. 3","173","8","0","14","3","0","97","26","0","25","14","8","0","16","87","8","0","7","5","0","3","7","0","6","103","24","0","29","10","16","2","0","7","0","1","0","2","0","2","1","1","0","24","2","2","0","5","20","10","0","21","0","2","1","2","0","7","0"
"22-765 Northeast Anchorage No. 4","89","5","0","9","5","0","59","23","1","15","1","5","0","11","44","6","0","6","1","0","0","0","0","5","39","14","0","24","6","15","2","0","2","0","2","0","2","0","0","1","3","0","21","5","4","0","0","25","3","0","10","0","0","3","5","0","3","0"
"23-805 Chugach Park No. 1","310","4","0","4","8","0","234","20","0","74","30","7","0","31","55","10","0","6","10","0","2","3","0","1","114","30","0","34","7","31","4","0","6","1","0","0","0","0","0","2","0","0","42","3","8","0","9","85","13","0","23","0","3","9","5","0","7","2"
"23-810 Eagle River No. 1","216","4","0","6","4","0","174","17","0","41","18","6","0","8","29","6","0","2","9","0","3","1","0","6","50","11","0","16","12","16","1","0","3","0","0","0","2","0","0","2","1","0","23","12","9","0","5","25","10","0","11","0","4","4","2","0","7","0"
"23-815 Eagle River No. 2","178","5","0","7","5","1","163","16","0","31","9","11","0","13","39","8","0","1","5","0","2","4","0","2","60","19","0","24","4","13","2","0","4","1","1","0","1","0","0","3","2","0","19","5","5","0","8","23","14","0","12","0","0","4","1","1","6","0"
"23-820 Hiland","186","9","0","7","9","0","160","16","0","39","8","5","0","11","17","2","0","2","4","0","0","0","0","2","51","17","0","15","5","12","2","0","9","0","0","0","0","0","0","5","0","0","12","3","11","0","3","38","9","0","16","0","1","6","0","0","6","0"
"23-825 Meadow Creek No. 1","231","6","0","6","7","0","171","23","0","36","14","10","0","17","54","10","0","2","1","0","0","2","0","6","60","14","1","26","16","24","1","0","10","0","0","0","0","0","1","0","1","0","19","7","4","0","5","44","8","0","20","0","1","2","2","0","7","0"
"23-830 Meadow Creek No. 2","148","2","0","4","2","0","115","14","0","22","5","8","0","9","18","2","0","2","4","0","2","1","0","1","50","8","0","10","6","10","3","0","2","0","1","0","0","0","0","0","1","0","11","7","3","0","3","18","8","0","6","0","1","1","4","0","6","0"
"24-850 Chugach Park No. 2","248","3","0","5","5","0","182","14","1","28","20","9","0","12","23","4","0","2","1","0","1","1","0","1","49","21","0","14","5","22","1","0","1","0","1","0","2","0","0","0","0","0","24","10","6","0","6","43","24","0","15","0","6","0","0","0","5","1"
"24-855 Chugiak","109","3","0","1","1","0","77","17","1","16","8","3","0","2","17","3","0","1","3","0","0","1","0","1","21","6","0","7","7","7","0","0","3","1","0","0","0","0","0","0","0","0","10","4","6","0","2","18","9","0","3","0","0","1","1","0","0","0"
"24-860 Eagle River No. 3","188","2","0","2","9","0","103","22","0","38","6","11","0","7","34","3","0","1","9","0","0","3","0","3","31","16","0","9","7","10","3","0","4","1","1","0","0","0","1","3","0","0","20","7","5","0","5","25","3","0","10","0","3","3","0","0","3","0"
"24-865 Eklutna","241","5","0","9","4","1","159","21","0","26","12","5","0","12","27","3","0","3","3","0","2","2","0","4","65","12","0","23","8","27","2","0","3","1","2","0","1","0","2","2","0","0","12","7","6","0","0","26","17","0","11","0","0","2","1","0","2","0"
"24-870 Fire Lake","235","5","0","6","6","0","185","31","1","31","16","14","0","22","29","3","0","3","9","0","0","1","0","4","53","15","0","12","6","12","1","0","4","2","1","0","0","0","0","4","0","0","23","11","5","0","9","31","20","0","18","0","1","1","0","0","6","0"
"24-875 Peters Creek No. 1","341","8","0","15","3","0","260","26","0","56","30","10","0","14","23","3","0","1","5","1","1","2","0","2","63","21","0","25","20","32","2","0","3","0","0","0","0","0","2","2","0","0","23","7","5","0","6","41","12","0","13","0","1","2","2","0","4","0"
"24-880 Peters Creek No. 2","178","3","0","9","4","0","141","13","0","25","7","5","0","7","21","2","0","2","2","0","2","1","0","2","39","9","0","9","4","11","2","0","2","1","0","0","0","0","1","0","0","0","27","1","6","0","5","21","7","0","7","0","1","3","1","0","9","3"
"25-305 Butte","375","7","0","21","5","2","328","43","0","73","18","11","0","14","36","5","0","5","10","0","1","7","0","3","46","12","0","20","11","19","1","0","5","1","4","0","0","0","2","3","1","0","21","13","10","0","4","36","13","0","15","0","2","3","2","0","9","1"
"25-310 Greater Palmer","178","6","0","8","4","0","128","28","0","32","10","3","0","6","20","6","0","2","4","0","1","2","0","3","31","5","0","9","5","7","3","0","4","0","2","0","2","0","0","2","2","0","15","3","2","0","6","23","8","0","9","0","1","0","1","0","2","0"
"25-315 Lazy Mountain","232","5","0","12","2","0","185","30","0","31","13","4","0","5","25","6","0","4","2","0","2","0","0","2","47","9","0","18","10","26","2","0","4","0","0","0","1","0","0","0","0","0","19","2","2","0","2","41","5","0","14","0","0","2","2","0","11","0"
"25-320 Palmer City No. 1","160","4","0","11","5","0","116","27","1","24","7","9","0","5","26","8","0","2","4","0","0","1","0","5","47","12","0","23","7","17","1","0","7","1","1","0","1","0","2","1","0","0","17","6","2","0","1","32","8","0","11","1","1","3","3","0","2","0"
"25-325 Palmer City No. 2","122","2","0","11","3","0","126","27","0","25","4","4","0","4","21","2","0","1","1","0","0","1","0","0","40","12","0","18","7","10","0","0","2","0","0","0","1","0","0","1","0","0","9","3","1","0","5","21","8","0","6","0","0","2","1","0","5","0"
"25-330 Springer Loop","217","4","0","17","8","0","176","25","0","35","12","3","0","9","23","4","0","5","4","0","1","2","0","2","60","7","0","16","8","12","0","0","3","1","1","0","0","0","2","3","0","0","23","5","5","0","2","29","11","0","10","0","1","1","2","0","2","0"
"25-335 Walby","220","2","0","16","7","0","171","42","0","48","9","4","0","7","13","6","0","1","5","0","2","2","0","3","24","13","0","10","18","24","2","0","6","0","1","0","2","0","2","2","0","0","6","2","2","0","3","19","9","0","11","0","2","1","3","0","4","0"
"26-350 Fairview No. 1","189","0","0","3","3","0","154","14","0","26","15","1","0","4","6","2","0","0","0","0","0","2","0","2","19","2","0","7","12","14","1","0","2","0","0","0","1","0","0","1","0","0","9","6","1","0","2","7","1","0","4","0","1","0","2","0","3","0"
"26-355 Fairview No. 2","108","2","0","4","4","0","84","16","0","27","7","2","0","11","20","1","0","0","3","0","0","0","0","1","19","2","0","4","2","9","1","0","2","0","0","0","1","0","1","0","1","0","3","4","0","0","2","11","4","0","3","0","2","1","0","0","3","1"
"26-360 Knik Goose Bay No. 1","338","9","0","17","4","0","278","40","3","72","12","6","0","11","35","3","0","1","2","1","4","2","0","4","35","14","0","9","25","25","1","0","8","1","2","0","2","0","0","3","0","0","11","4","2","0","4","9","5","0","11","0","3","2","3","0","16","3"
"26-365 Knik Goose Bay No. 2","234","3","0","8","5","0","190","26","0","30","12","4","0","11","23","2","0","3","2","0","4","3","0","0","25","6","0","6","10","17","1","0","7","0","1","0","1","0","2","0","0","0","5","0","4","0","1","11","8","0","6","0","3","0","1","0","6","0"
"26-370 Knik Goose Bay No. 3","127","3","0","5","3","0","124","25","1","19","6","4","0","6","12","2","0","0","2","0","0","2","0","1","8","3","0","3","2","17","0","0","0","1","0","0","1","0","0","1","1","0","6","1","0","0","2","7","0","0","7","0","2","0","0","0","9","0"
"26-375 Mat-Su Campus","180","8","0","2","2","0","177","18","0","35","12","2","0","9","13","4","0","2","0","0","4","1","0","0","31","6","0","16","6","20","3","0","5","0","0","0","0","0","0","2","0","0","12","3","2","0","0","37","6","0","11","0","3","4","1","0","4","2"
"26-380 Snowshoe","359","5","0","5","4","0","264","32","0","51","13","7","0","9","26","5","0","1","3","0","0","3","0","7","33","5","0","15","13","26","4","0","7","1","1","0","1","0","2","1","2","0","19","11","3","0","3","16","8","0","9","0","1","3","3","0","4","2"
"27-405 Foothills","189","3","0","4","1","0","208","20","1","37","8","5","0","8","26","5","0","4","2","0","3","1","0","2","20","5","0","14","6","16","1","0","6","0","0","0","0","0","1","2","2","0","7","3","0","0","1","10","4","0","1","0","2","2","0","0","11","0"
